パッケージID,ゲームパッケージの発売日,価格,プラットフォーム名,価格%1000,メーカー名
M727875,1983-07-15,4500.0,ファミリーコンピュータ,500.0,任天堂
M727874,1983-07-15,4500.0,ファミリーコンピュータ,500.0,任天堂
M727873,1983-08-27,2500.0,ファミリーコンピュータ,500.0,任天堂
M727872,1983-08-27,4500.0,ファミリーコンピュータ,500.0,任天堂
M727871,1983-09-09,4500.0,ファミリーコンピュータ,500.0,任天堂
M727870,1983-12-07,4500.0,ファミリーコンピュータ,500.0,任天堂
M727869,1983-12-12,4500.0,ファミリーコンピュータ,500.0,任天堂
M727854,1984-01-14,4500.0,ファミリーコンピュータ,500.0,任天堂
M727853,1984-04-21,4500.0,ファミリーコンピュータ,500.0,任天堂
M727852,1984-05-01,4500.0,ファミリーコンピュータ,500.0,任天堂
M727851,1984-07-31,4500.0,ファミリーコンピュータ,500.0,任天堂
M727850,1984-09-07,4500.0,ファミリーコンピュータ,500.0,任天堂
M727849,1984-10-05,4500.0,ファミリーコンピュータ,500.0,任天堂
M727855,1984-11-02,4500.0,ファミリーコンピュータ,500.0,任天堂
M727847,1984-11-08,4900.0,ファミリーコンピュータ,900.0,任天堂
M727845,1984-11-30,5500.0,ファミリーコンピュータ,500.0,任天堂
M727810,1985-01-22,4500.0,ファミリーコンピュータ,500.0,任天堂
M727809,1985-02-22,4900.0,ファミリーコンピュータ,900.0,任天堂
M727808,1985-04-04,4500.0,ファミリーコンピュータ,500.0,任天堂
M727807,1985-04-09,4900.0,ファミリーコンピュータ,900.0,任天堂
M727806,1985-04-17,4500.0,ファミリーコンピュータ,500.0,任天堂
M727805,1985-04-17,4900.0,ファミリーコンピュータ,900.0,任天堂
M727804,1985-04-22,4500.0,ファミリーコンピュータ,500.0,任天堂
M727802,1985-05-24,4500.0,ファミリーコンピュータ,500.0,任天堂
M727800,1985-06-21,6500.0,ファミリーコンピュータ,500.0,任天堂
M727798,1985-06-25,5300.0,ファミリーコンピュータ,300.0,任天堂
M727797,1985-07-11,4500.0,ファミリーコンピュータ,500.0,任天堂
M727796,1985-07-18,4500.0,ファミリーコンピュータ,500.0,任天堂
M727795,1985-07-26,4800.0,ファミリーコンピュータ,800.0,任天堂
M727794,1985-08-06,4900.0,ファミリーコンピュータ,900.0,任天堂
M727793,1985-08-10,4500.0,ファミリーコンピュータ,500.0,任天堂
M727792,1985-08-30,4900.0,ファミリーコンピュータ,900.0,任天堂
