プラットフォーム名,ゲームパッケージ数,パブリッシャー数,平均価格
3DO,115,68,8261.91304347826
ClassicMacOS,13,3,615.3846153846154
MSX,1,1,5800.0
MSX2,4,4,8800.0
MicrosoftWindows,582,225,5676.073043478261
NINTENDO64,160,51,7054.0125
NintendoSwitch,320,97,3370.7284345047924
PC-8801,92,36,7047.826086956522
PC-9801,6,4,10600.0
PC-FX,39,6,7934.358974358975
PCエンジン,385,79,6793.87012987013
SC-3000,2,1,4300.0
SEGAマーク3,9,1,4944.444444444444
SG-1000,2,1,4300.0
Wii,1356,113,2678.7249262536875
WiiU,842,69,2434.264173703257
X1,2,2,8500.0
X68000,2,2,9800.0
Xbox,226,57,6588.9646017699115
Xbox360,1385,167,5475.008017492712
XboxOne,697,139,6523.615384615385
macOS,19,15,4858.9473684210525
ゲームアーカイブス,950,75,666.1294736842106
ゲームギア,172,30,4081.1627906976746
ゲームボーイ,937,114,3891.5026680896476
ゲームボーイアドバンス,686,116,4922.978134110787
スーパーファミコン,1137,185,9153.76693051891
セガサターン,874,154,6170.6529209621995
セガ・マスターシステム,3,1,5766.666666666667
ドリームキャスト,581,152,5719.442273534636
ニンテンドー3DS,2263,199,3561.367014046217
ニンテンドーDS,2213,218,3885.612596284549
ニンテンドーゲームキューブ,228,55,6347.0307017543855
ネオジオ,105,14,27857.14285714286
ネオジオCD,69,9,6321.739130434783
ネオジオポケット,86,15,3831.279069767442
バーチャルボーイ,4,1,4900.0
ファミリーコンピュータ,398,88,5665.017587939698
プレイステーション,3750,493,4665.39004037685
プレイステーション2,4216,316,5888.962954167656
プレイステーション3,2501,148,5803.462422997946
プレイステーション4,1874,268,5622.198857142857
プレイステーションVita,2348,190,5808.051467268623
プレイステーション・ポータブル,3417,196,4822.775432424509
メガドライブ,419,74,7478.233890214797
ワンダースワン,183,51,4585.404371584699
