発売年,ゲームパッケージ数,ゲームパブリッシャー数,ゲームプラットフォーム数
1982,12,2,1
1983,11,4,2
1984,30,12,5
1985,59,34,7
1986,57,31,5
1987,106,52,6
1988,79,38,6
1989,152,68,4
1990,300,108,9
1991,336,118,7
1992,398,131,7
1993,427,138,7
1994,613,164,12
1995,735,190,13
1996,841,229,13
1997,856,238,11
1998,985,264,14
1999,1173,286,14
2000,1259,278,14
2001,1070,240,13
2002,1156,236,11
2003,1065,218,11
2004,1037,185,11
2005,1103,166,10
2006,1244,175,13
2007,1641,195,11
2008,1681,219,8
2009,1968,217,8
2010,1930,214,9
2011,1575,177,10
2012,1700,168,10
2013,2033,167,11
2014,2106,176,12
2015,1964,211,11
2016,1852,202,10
2017,2074,289,10
