発売年,ゲームプラットフォーム名,ゲームパッケージ数,ゲームパブリッシャー数,メーカー名
1983,プレイステーション,0,0,ソニー
1983,プレイステーション2,0,0,ソニー
1983,プレイステーション・ポータブル,0,0,ソニー
1983,ゲームアーカイブス,0,0,ソニー
1983,プレイステーション3,0,0,ソニー
1983,プレイステーションVita,0,0,ソニー
1983,プレイステーション4,0,0,ソニー
1984,プレイステーション,0,0,ソニー
1984,プレイステーション2,0,0,ソニー
1984,プレイステーション・ポータブル,0,0,ソニー
1984,ゲームアーカイブス,0,0,ソニー
1984,プレイステーション3,0,0,ソニー
1984,プレイステーションVita,0,0,ソニー
1984,プレイステーション4,0,0,ソニー
1985,プレイステーション,0,0,ソニー
1985,プレイステーション2,0,0,ソニー
1985,プレイステーション・ポータブル,0,0,ソニー
1985,ゲームアーカイブス,0,0,ソニー
1985,プレイステーション3,0,0,ソニー
1985,プレイステーションVita,0,0,ソニー
1985,プレイステーション4,0,0,ソニー
1986,プレイステーション,0,0,ソニー
1986,プレイステーション2,0,0,ソニー
1986,プレイステーション・ポータブル,0,0,ソニー
1986,ゲームアーカイブス,0,0,ソニー
1986,プレイステーション3,0,0,ソニー
1986,プレイステーションVita,0,0,ソニー
1986,プレイステーション4,0,0,ソニー
1987,プレイステーション,0,0,ソニー
1987,プレイステーション2,0,0,ソニー
1987,プレイステーション・ポータブル,0,0,ソニー
1987,ゲームアーカイブス,0,0,ソニー
1987,プレイステーション3,0,0,ソニー
1987,プレイステーションVita,0,0,ソニー
1987,プレイステーション4,0,0,ソニー
1988,プレイステーション,0,0,ソニー
1988,プレイステーション2,0,0,ソニー
1988,プレイステーション・ポータブル,0,0,ソニー
1988,ゲームアーカイブス,0,0,ソニー
1988,プレイステーション3,0,0,ソニー
1988,プレイステーションVita,0,0,ソニー
1988,プレイステーション4,0,0,ソニー
1989,プレイステーション,0,0,ソニー
1989,プレイステーション2,0,0,ソニー
1989,プレイステーション・ポータブル,0,0,ソニー
1989,ゲームアーカイブス,0,0,ソニー
1989,プレイステーション3,0,0,ソニー
1989,プレイステーションVita,0,0,ソニー
1989,プレイステーション4,0,0,ソニー
1990,プレイステーション,0,0,ソニー
1990,プレイステーション2,0,0,ソニー
1990,プレイステーション・ポータブル,0,0,ソニー
1990,ゲームアーカイブス,0,0,ソニー
1990,プレイステーション3,0,0,ソニー
1990,プレイステーションVita,0,0,ソニー
1990,プレイステーション4,0,0,ソニー
1991,プレイステーション,0,0,ソニー
1991,プレイステーション2,0,0,ソニー
1991,プレイステーション・ポータブル,0,0,ソニー
1991,ゲームアーカイブス,0,0,ソニー
1991,プレイステーション3,0,0,ソニー
1991,プレイステーションVita,0,0,ソニー
1991,プレイステーション4,0,0,ソニー
1992,プレイステーション,0,0,ソニー
1992,プレイステーション2,0,0,ソニー
1992,プレイステーション・ポータブル,0,0,ソニー
1992,ゲームアーカイブス,0,0,ソニー
1992,プレイステーション3,0,0,ソニー
1992,プレイステーションVita,0,0,ソニー
1992,プレイステーション4,0,0,ソニー
1993,プレイステーション,0,0,ソニー
1993,プレイステーション2,0,0,ソニー
1993,プレイステーション・ポータブル,0,0,ソニー
1993,ゲームアーカイブス,0,0,ソニー
1993,プレイステーション3,0,0,ソニー
1993,プレイステーションVita,0,0,ソニー
1993,プレイステーション4,0,0,ソニー
1994,プレイステーション,14,11,ソニー
1994,プレイステーション2,0,0,ソニー
1994,プレイステーション・ポータブル,0,0,ソニー
1994,ゲームアーカイブス,0,0,ソニー
1994,プレイステーション3,0,0,ソニー
1994,プレイステーションVita,0,0,ソニー
1994,プレイステーション4,0,0,ソニー
1995,プレイステーション,119,72,ソニー
1995,プレイステーション2,0,0,ソニー
1995,プレイステーション・ポータブル,0,0,ソニー
1995,ゲームアーカイブス,0,0,ソニー
1995,プレイステーション3,0,0,ソニー
1995,プレイステーションVita,0,0,ソニー
1995,プレイステーション4,0,0,ソニー
1996,プレイステーション,368,150,ソニー
1996,プレイステーション2,0,0,ソニー
1996,プレイステーション・ポータブル,0,0,ソニー
1996,ゲームアーカイブス,0,0,ソニー
1996,プレイステーション3,0,0,ソニー
1996,プレイステーションVita,0,0,ソニー
1996,プレイステーション4,0,0,ソニー
1997,プレイステーション,434,178,ソニー
1997,プレイステーション2,0,0,ソニー
1997,プレイステーション・ポータブル,0,0,ソニー
1997,ゲームアーカイブス,0,0,ソニー
1997,プレイステーション3,0,0,ソニー
1997,プレイステーションVita,0,0,ソニー
1997,プレイステーション4,0,0,ソニー
1998,プレイステーション,584,213,ソニー
1998,プレイステーション2,0,0,ソニー
1998,プレイステーション・ポータブル,0,0,ソニー
1998,ゲームアーカイブス,0,0,ソニー
1998,プレイステーション3,0,0,ソニー
1998,プレイステーションVita,0,0,ソニー
1998,プレイステーション4,0,0,ソニー
1999,プレイステーション,714,215,ソニー
1999,プレイステーション2,0,0,ソニー
1999,プレイステーション・ポータブル,0,0,ソニー
1999,ゲームアーカイブス,0,0,ソニー
1999,プレイステーション3,0,0,ソニー
1999,プレイステーションVita,0,0,ソニー
1999,プレイステーション4,0,0,ソニー
2000,プレイステーション,668,178,ソニー
2000,プレイステーション2,117,59,ソニー
2000,プレイステーション・ポータブル,0,0,ソニー
2000,ゲームアーカイブス,0,0,ソニー
2000,プレイステーション3,0,0,ソニー
2000,プレイステーションVita,0,0,ソニー
2000,プレイステーション4,0,0,ソニー
2001,プレイステーション,428,122,ソニー
2001,プレイステーション2,241,85,ソニー
2001,プレイステーション・ポータブル,0,0,ソニー
2001,ゲームアーカイブス,0,0,ソニー
2001,プレイステーション3,0,0,ソニー
2001,プレイステーションVita,0,0,ソニー
2001,プレイステーション4,0,0,ソニー
2002,プレイステーション,310,82,ソニー
2002,プレイステーション2,423,111,ソニー
2002,プレイステーション・ポータブル,0,0,ソニー
2002,ゲームアーカイブス,0,0,ソニー
2002,プレイステーション3,0,0,ソニー
2002,プレイステーションVita,0,0,ソニー
2002,プレイステーション4,0,0,ソニー
2003,プレイステーション,96,35,ソニー
2003,プレイステーション2,547,129,ソニー
2003,プレイステーション・ポータブル,0,0,ソニー
2003,ゲームアーカイブス,0,0,ソニー
2003,プレイステーション3,0,0,ソニー
2003,プレイステーションVita,0,0,ソニー
2003,プレイステーション4,0,0,ソニー
2004,プレイステーション,13,8,ソニー
2004,プレイステーション2,634,122,ソニー
2004,プレイステーション・ポータブル,16,14,ソニー
2004,ゲームアーカイブス,0,0,ソニー
2004,プレイステーション3,0,0,ソニー
2004,プレイステーションVita,0,0,ソニー
2004,プレイステーション4,0,0,ソニー
2005,プレイステーション,0,0,ソニー
2005,プレイステーション2,667,102,ソニー
2005,プレイステーション・ポータブル,103,34,ソニー
2005,ゲームアーカイブス,0,0,ソニー
2005,プレイステーション3,0,0,ソニー
2005,プレイステーションVita,0,0,ソニー
2005,プレイステーション4,0,0,ソニー
2006,プレイステーション,1,1,ソニー
2006,プレイステーション2,557,99,ソニー
2006,プレイステーション・ポータブル,225,60,ソニー
2006,ゲームアーカイブス,18,8,ソニー
2006,プレイステーション3,21,9,ソニー
2006,プレイステーションVita,0,0,ソニー
2006,プレイステーション4,0,0,ソニー
2007,プレイステーション,0,0,ソニー
2007,プレイステーション2,425,87,ソニー
2007,プレイステーション・ポータブル,160,45,ソニー
2007,ゲームアーカイブス,136,20,ソニー
2007,プレイステーション3,79,26,ソニー
2007,プレイステーションVita,0,0,ソニー
2007,プレイステーション4,0,0,ソニー
2008,プレイステーション,0,0,ソニー
2008,プレイステーション2,312,78,ソニー
2008,プレイステーション・ポータブル,155,52,ソニー
2008,ゲームアーカイブス,111,20,ソニー
2008,プレイステーション3,146,36,ソニー
2008,プレイステーションVita,0,0,ソニー
2008,プレイステーション4,0,0,ソニー
2009,プレイステーション,0,0,ソニー
2009,プレイステーション2,182,52,ソニー
2009,プレイステーション・ポータブル,488,82,ソニー
2009,ゲームアーカイブス,97,23,ソニー
2009,プレイステーション3,152,38,ソニー
