パッケージID,ゲームパッケージの発売日,価格,プラットフォーム名
M735723,1982-04-25,3500.0,PC-8801
M735295,1982-05-25,3500.0,PC-8801
M735396,1982-06-25,3500.0,PC-8801
M735265,1982-07-25,3500.0,PC-8801
M735557,1982-08-01,16500.0,PC-8801
M735792,1982-08-01,6500.0,PC-8801
M735791,1982-08-01,6500.0,PC-8801
M735556,1982-08-01,16500.0,PC-8801
M735558,1982-08-01,16500.0,PC-8801
M735559,1982-08-01,16500.0,PC-8801
M735790,1982-09-01,6500.0,PC-8801
M735793,1982-10-01,6500.0,PC-8801
M727875,1983-07-15,4500.0,ファミリーコンピュータ
M727874,1983-07-15,4500.0,ファミリーコンピュータ
M735415,1983-08-05,2800.0,PC-8801
M735700,1983-08-20,3800.0,PC-8801
M735720,1983-08-20,3000.0,PC-8801
M727873,1983-08-27,2500.0,ファミリーコンピュータ
M727872,1983-08-27,4500.0,ファミリーコンピュータ
M727871,1983-09-09,4500.0,ファミリーコンピュータ
M735246,1983-09-20,3900.0,PC-8801
M727870,1983-12-07,4500.0,ファミリーコンピュータ
M727869,1983-12-12,4500.0,ファミリーコンピュータ
M727854,1984-01-14,4500.0,ファミリーコンピュータ
M727853,1984-04-21,4500.0,ファミリーコンピュータ
M736153,1984-04-28,6800.0,PC-8801
M736410,1984-04-28,6800.0,PC-8801
M736339,1984-04-28,6800.0,PC-8801
M736532,1984-04-28,6000.0,PC-8801
M727852,1984-05-01,4500.0,ファミリーコンピュータ
M736208,1984-05-23,6800.0,PC-8801
M735402,1984-05-23,4000.0,PC-8801
M734154,1984-06-15,6800.0,PC-8801
M727851,1984-07-31,4500.0,ファミリーコンピュータ
M735597,1984-08-10,4500.0,PC-8801
M735375,1984-08-30,3600.0,PC-8801
M727850,1984-09-07,4500.0,ファミリーコンピュータ
M735416,1984-10-05,3500.0,PC-8801
M736563,1984-10-05,5800.0,PC-8801
M736224,1984-10-05,4800.0,PC-8801
M727849,1984-10-05,4500.0,ファミリーコンピュータ
M736050,1984-10-18,5800.0,PC-8801
M735307,1984-10-18,3800.0,PC-8801
M727855,1984-11-02,4500.0,ファミリーコンピュータ
M727847,1984-11-08,4900.0,ファミリーコンピュータ
M727845,1984-11-30,5500.0,ファミリーコンピュータ
M735462,1984-12-05,3500.0,PC-8801
