year,ゲームパッケージ数,ゲームパブリッシャー数,ゲームプラットフォーム数,発売年
1982,12,2,1,1982-01-01
1983,11,4,2,1983-01-01
1984,30,12,5,1984-01-01
1985,59,34,7,1985-01-01
1986,57,31,5,1986-01-01
1987,106,52,6,1987-01-01
1988,79,38,6,1988-01-01
1989,152,68,4,1989-01-01
1990,300,108,9,1990-01-01
1991,336,118,7,1991-01-01
1992,398,131,7,1992-01-01
1993,427,138,7,1993-01-01
1994,613,164,12,1994-01-01
1995,735,190,13,1995-01-01
1996,841,229,13,1996-01-01
1997,856,238,11,1997-01-01
1998,985,264,14,1998-01-01
1999,1173,286,14,1999-01-01
2000,1259,278,14,2000-01-01
2001,1070,240,13,2001-01-01
2002,1156,236,11,2002-01-01
2003,1065,218,11,2003-01-01
2004,1037,185,11,2004-01-01
2005,1103,166,10,2005-01-01
2006,1244,175,13,2006-01-01
2007,1641,195,11,2007-01-01
2008,1681,219,8,2008-01-01
2009,1968,217,8,2009-01-01
2010,1930,214,9,2010-01-01
2011,1575,177,10,2011-01-01
2012,1700,168,10,2012-01-01
2013,2033,167,11,2013-01-01
2014,2106,176,12,2014-01-01
2015,1964,211,11,2015-01-01
2016,1852,202,10,2016-01-01
2017,2074,289,10,2017-01-01
2018,9,9,4,2018-01-01
2019,1,1,1,2019-01-01
