year,ゲームプラットフォーム名,ゲームパッケージ数,ゲームパブリッシャー数,メーカー名,発売年
1983,ファミリーコンピュータ,7,1,任天堂,1983-01-01
1983,SC-3000,0,0,セガ,1983-01-01
1983,SG-1000,0,0,セガ,1983-01-01
1983,SEGAマーク3,0,0,セガ,1983-01-01
1983,セガ・マスターシステム,0,0,セガ,1983-01-01
1983,メガドライブ,0,0,セガ,1983-01-01
1983,ゲームボーイ,0,0,任天堂,1983-01-01
1983,ゲームギア,0,0,セガ,1983-01-01
1983,スーパーファミコン,0,0,任天堂,1983-01-01
1983,セガサターン,0,0,セガ,1983-01-01
1983,プレイステーション,0,0,ソニー,1983-01-01
1983,NINTENDO64,0,0,任天堂,1983-01-01
1983,ドリームキャスト,0,0,セガ,1983-01-01
1983,プレイステーション2,0,0,ソニー,1983-01-01
1983,ゲームボーイアドバンス,0,0,任天堂,1983-01-01
1983,ニンテンドーゲームキューブ,0,0,任天堂,1983-01-01
1983,ニンテンドーDS,0,0,任天堂,1983-01-01
1983,プレイステーション・ポータブル,0,0,ソニー,1983-01-01
1983,Wii,0,0,任天堂,1983-01-01
1983,ゲームアーカイブス,0,0,ソニー,1983-01-01
1983,プレイステーション3,0,0,ソニー,1983-01-01
1983,ニンテンドー3DS,0,0,任天堂,1983-01-01
1983,プレイステーションVita,0,0,ソニー,1983-01-01
1983,WiiU,0,0,任天堂,1983-01-01
1983,プレイステーション4,0,0,ソニー,1983-01-01
1983,NintendoSwitch,0,0,任天堂,1983-01-01
1984,ファミリーコンピュータ,9,4,任天堂,1984-01-01
1984,SC-3000,1,1,セガ,1984-01-01
1984,SG-1000,1,1,セガ,1984-01-01
1984,SEGAマーク3,0,0,セガ,1984-01-01
1984,セガ・マスターシステム,0,0,セガ,1984-01-01
1984,メガドライブ,0,0,セガ,1984-01-01
1984,ゲームボーイ,0,0,任天堂,1984-01-01
1984,ゲームギア,0,0,セガ,1984-01-01
1984,スーパーファミコン,0,0,任天堂,1984-01-01
1984,セガサターン,0,0,セガ,1984-01-01
1984,プレイステーション,0,0,ソニー,1984-01-01
1984,NINTENDO64,0,0,任天堂,1984-01-01
1984,ドリームキャスト,0,0,セガ,1984-01-01
1984,プレイステーション2,0,0,ソニー,1984-01-01
1984,ゲームボーイアドバンス,0,0,任天堂,1984-01-01
1984,ニンテンドーゲームキューブ,0,0,任天堂,1984-01-01
1984,ニンテンドーDS,0,0,任天堂,1984-01-01
