プラットフォーム名,パッケージ数,パブリッシャー数,平均価格,最初の発売日
3DO,115,68,8261.91304347826,1994-03-20
64DD,2,1,,2000-04-21
ClassicMacOS,13,3,615.3846153846154,1997-09-21
MSX,1,1,5800.0,1986-04-18
MSX2,4,4,8800.0,1985-12-18
MicrosoftWindows,582,225,5676.073043478261,1995-07-15
NINTENDO64,160,51,7054.0125,1996-06-23
NintendoSwitch,320,97,3370.7284345047924,2017-03-03
PC-8801,92,36,7047.826086956522,1982-04-25
PC-9801,6,4,10600.0,1985-12-20
PC-FX,39,6,7934.358974358975,1996-03-29
PCエンジン,385,79,6793.87012987013,1987-10-30
SC-3000,2,1,4300.0,1984-12-01
SEGAマーク3,9,1,4944.444444444444,1985-10-27
SG-1000,2,1,4300.0,1984-12-01
Wii,1356,113,2678.7249262536875,2006-12-02
WiiU,842,69,2434.264173703257,2012-12-08
X1,2,2,8500.0,1984-12-20
X68000,2,2,9800.0,1990-09-25
Xbox,226,57,6588.9646017699115,2002-02-22
Xbox360,1385,167,5475.008017492712,2005-12-10
XboxOne,697,139,6523.615384615385,2014-09-04
macOS,19,15,4858.9473684210525,1995-09-15
ゲームアーカイブス,950,75,666.1294736842106,2006-11-22
ゲームギア,172,30,4081.1627906976746,1990-10-06
ゲームボーイ,937,114,3891.5026680896476,1989-04-21
ゲームボーイアドバンス,686,116,4922.978134110787,2001-03-21
スーパーファミコン,1137,185,9153.76693051891,1990-11-21
セガサターン,874,154,6170.6529209621995,1994-11-22
セガ・マスターシステム,3,1,5766.666666666667,1987-12-12
ドリームキャスト,581,152,5719.442273534636,1998-11-27
ニンテンドー3DS,2263,199,3561.367014046217,2011-02-26
ニンテンドーDS,2213,218,3885.612596284549,2004-12-02
ニンテンドーゲームキューブ,228,55,6347.0307017543855,2001-09-14
ネオジオ,105,14,27857.14285714286,1991-07-01
ネオジオCD,69,9,6321.739130434783,1994-09-09
ネオジオポケット,86,15,3831.279069767442,1998-10-28
バーチャルボーイ,4,1,4900.0,1995-07-21
ファミリーコンピュータ,398,88,5665.017587939698,1983-07-15
プレイステーション,3750,493,4665.39004037685,1994-12-03
プレイステーション2,4216,316,5888.962954167656,2000-01-31
プレイステーション3,2501,148,5803.462422997946,2006-11-11
プレイステーション4,1874,268,5622.198857142857,2014-02-22
プレイステーションVita,2348,190,5808.051467268623,2011-12-17
プレイステーション・ポータブル,3417,196,4822.775432424509,2004-12-12
メガドライブ,419,74,7478.233890214797,1988-10-29
ワンダースワン,183,51,4585.404371584699,1999-03-04
