プラットフォーム名,ゲームパッケージ数,パブリッシャー数,平均価格,メーカー名
NINTENDO64,160,51,7054.0125,任天堂
NintendoSwitch,320,97,3370.7284345047924,任天堂
SC-3000,2,1,4300.0,セガ
SEGAマーク3,9,1,4944.444444444444,セガ
SG-1000,2,1,4300.0,セガ
Wii,1356,113,2678.7249262536875,任天堂
WiiU,842,69,2434.264173703257,任天堂
ゲームアーカイブス,950,75,666.1294736842106,ソニー
ゲームギア,172,30,4081.1627906976746,セガ
ゲームボーイ,937,114,3891.5026680896476,任天堂
ゲームボーイアドバンス,686,116,4922.978134110787,任天堂
スーパーファミコン,1137,185,9153.76693051891,任天堂
セガサターン,874,154,6170.6529209621995,セガ
セガ・マスターシステム,3,1,5766.666666666667,セガ
ドリームキャスト,581,152,5719.442273534636,セガ
ニンテンドー3DS,2263,199,3561.367014046217,任天堂
ニンテンドーDS,2213,218,3885.612596284549,任天堂
ニンテンドーゲームキューブ,228,55,6347.0307017543855,任天堂
ファミリーコンピュータ,398,88,5665.017587939698,任天堂
プレイステーション,3750,493,4665.39004037685,ソニー
プレイステーション2,4216,316,5888.962954167656,ソニー
プレイステーション3,2501,148,5803.462422997946,ソニー
プレイステーション4,1874,268,5622.198857142857,ソニー
プレイステーションVita,2348,190,5808.051467268623,ソニー
プレイステーション・ポータブル,3417,196,4822.775432424509,ソニー
メガドライブ,419,74,7478.233890214797,セガ
