acid,ccid
C10003,C92062
C10012,C91434
C10016,C91240
C10026,C92178
C10030,C93085
C10036,C88675
C10125,C90456
C10135,C88806
C10137,C94628
C10149,C94561
C10163,C92062
C10181,C95554
C10189,C88390
C10193,C89200
C10195,C89435
C10207,C90219
C10254,C90306
C10274,C89986
C10288,C90518
C10296,C87802
C10356,C93195
C10370,C89162
C10378,C90025
C10423,C90858
C10450,C95219
C10532,C92896
C10561,C89552
C10588,C91434
C10651,C90703
C10716,C93610
C10799,C91670
C10809,C93564
C10855,C88675
C10872,C93610
C10916,C95786
C10936,C89833
C10947,C91386
C10972,C91092
C10992,C87802
C10997,C87612
C11019,C95692
C11021,C93612
C11029,C91652
C11110,C93486
C11112,C92290
C11119,C87929
C11121,C88064
C11135,C91219
C11174,C89536
C11176,C91098
C11227,C87611
C11261,C88675
C11265,C88675
C11375,C93705
C11387,C90212
C11426,C90602
C11442,C90721
C11500,C89589
C11540,C87887
C11579,C90527
C11615,C90721
C11627,C91423
C11679,C89375
C11720,C92696
C11808,C87653
C11836,C88675
C11887,C88925
C11900,C91434
C11990,C89302
C12009,C89588
C12011,C93705
C12015,C92301
C12023,C87667
C12041,C87802
C12053,C90721
C12102,C92178
C12132,C89978
C12143,C93705
C12144,C87862
C12178,C90415
C12181,C91157
C12211,C89833
C12229,C88426
C12231,C93477
C12271,C95366
C12325,C89536
C12379,C91092
C12385,C93592
C12391,C88426
C12404,C88312
C12456,C89833
C12476,C95692
C12511,C92326
C12525,C95338
C12530,C92996
C12577,C87655
C12591,C87653
C12605,C89504
C12693,C92456
C13000,C88925
C13026,C88675
C13079,C88675
C13091,C91652
C13093,C88925
C13128,C91219
C13176,C91652
C13184,C91652
C13191,C87719
C13198,C89302
C13201,C87854
C13237,C88675
C13248,C90518
C13288,C88675
C13408,C91652
C13410,C91652
C13490,C92601
C13492,C87887
C13494,C95040
C13518,C89355
C13698,C90848
C13740,C87485
C13748,C89355
C13776,C89152
C13797,C95366
C13799,C95366
C13811,C89833
C13813,C89851
C13824,C88426
C13840,C95040
C14021,C89685
C14043,C92136
C14106,C93705
C14127,C89355
C14130,C89961
C14136,C93469
C14256,C91340
C14579,C88675
C14679,C92601
C14703,C90428
C14717,C88426
C14719,C88593
C14730,C88491
C14746,C92601
C14788,C89685
C14825,C90482
C14834,C92222
C14836,C88593
C14866,C90829
C14879,C91434
C14887,C93705
C14909,C93469
C14916,C93043
C14927,C95531
C14951,C91157
C14970,C95792
C14973,C89978
C15013,C88491
C15030,C89277
C15037,C89330
C15050,C89939
C15067,C90528
C15068,C92222
C15243,C94972
C15271,C93477
C15273,C89872
C15276,C91918
C15355,C87667
C15359,C87653
C15369,C87719
C15396,C91337
C15398,C95531
C15421,C88593
C15434,C89277
C15456,C88491
C15459,C88034
C15470,C92357
C15477,C92204
C15478,C88426
C15489,C88489
C15494,C90829
C15499,C93207
C15507,C89939
C15594,C87818
C15678,C88675
C15688,C93471
C15689,C89964
C15692,C88489
C15738,C89330
C15761,C90528
C15785,C87818
C15804,C92818
C15807,C88034
C15832,C90528
C15837,C87655
C15842,C89136
C15861,C92357
C15871,C88491
C15876,C88710
C15914,C91337
C15944,C93539
