原作マンガ作者名,年代,アニメの合計放送話数,order
青山剛昌,1990,55,0
青山剛昌,2000,401,0
青山剛昌,2010,350,0
尾田栄一郎,1990,9,1
尾田栄一郎,2000,432,1
尾田栄一郎,2010,342,1
岸本斉史,1990,0,2
岸本斉史,2000,362,2
岸本斉史,2010,376,2
久保帯人,1990,0,3
久保帯人,2000,254,3
久保帯人,2010,115,3
冨樫義博,1990,122,4
冨樫義博,2000,52,4
冨樫義博,2010,162,4
空知英秋,1990,0,5
空知英秋,2000,189,5
空知英秋,2010,142,5
真島ヒロ,1990,0,6
真島ヒロ,2000,62,6
真島ヒロ,2010,266,6
高橋留美子,1990,0,7
高橋留美子,2000,184,7
高橋留美子,2010,132,7
天樹征丸,1990,116,8
天樹征丸,2000,81,8
天樹征丸,2010,61,8
さとうふみや,1990,116,9
さとうふみや,2000,81,9
さとうふみや,2010,61,9
