マンガ雑誌名,ccid,マンガ作品名,8話目までの平均掲載位置,8話目までの平均ページ数,8話目までのカラー獲得率,合計各話数,アニメ化,連載開始日
週刊少年サンデー,C110901,戦争劇場,0.39731630957948244,9.5,0.125,55.0,False,2014-08-06
週刊少年サンデー,C110913,デジコン,0.23718919307140424,30.25,0.375,26.0,False,2014-09-03
週刊少年サンデー,C110925,おいしい神しゃま,0.6546867445115411,4.0,1.0,39.0,False,2014-09-24
週刊少年サンデー,C110985,トキワ来たれり!!,0.17236946909128464,23.25,0.125,120.0,False,2014-12-03
週刊少年サンデー,C110987,ドリー・マー,0.3193803185401879,27.25,0.25,32.0,False,2014-12-10
週刊少年サンデー,C110989,天使とアクト!!,0.16754672263258216,28.0,0.25,125.0,False,2014-12-24
週刊少年サンデー,C111004,レタス2個分のステキ,0.4623712004187474,8.0,0.125,44.0,False,2015-01-07
週刊少年サンデー,C111005,リオンさん、迷惑です。,0.2062970234190198,26.25,0.25,33.0,False,2015-01-14
週刊少年サンデー,C111006,さえずり高校OK部!,0.46363293871776845,6.75,0.125,37.0,False,2015-01-21
週刊少年サンデー,C111010,MAJOR 2nd,0.1035902513011493,22.25,0.25,102.0,False,2015-03-11
週刊少年サンデー,C111058,なのは洋菓子店のいい仕事,0.19130720427130365,25.0,0.25,70.0,False,2015-04-08
週刊少年サンデー,C111059,漫画家志望必見!!先輩漫画家が極意を伝授!! 進め!漫画道!!,0.3765169566554919,2.375,0.0,37.0,False,2014-12-10
週刊少年サンデー,C111062,漫画家志望必見!!先輩漫画家が極意を伝授!! 進め!漫画道!!,0.4020339581807369,2.0,0.0,19.0,False,2015-04-08
週刊少年サンデー,C111076,tutti!,0.2971641843217486,22.75,0.375,29.0,False,2015-04-29
週刊少年サンデー,C111084,アンペア,0.26256152724522264,27.25,0.375,27.0,False,2015-06-03
週刊少年サンデー,C112723,アオザクラ 防衛大学校物語,0.20928621264655783,30.75,0.375,53.0,False,2016-04-27
週刊少年サンデー,C112724,暁の暴君,0.24893305000071114,28.875,0.25,46.0,False,2015-10-07
週刊少年サンデー,C112725,アド アストラ ペル アスペラ,0.29048329860688227,31.25,0.375,8.0,False,2015-09-02
週刊少年サンデー,C112726,天野めぐみはスキだらけ!,0.26704211965602387,19.5,0.25,76.0,False,2015-12-16
週刊少年サンデー,C112729,鬼ヲ辿リテ幾星霜,0.21580479828864682,29.25,0.375,37.0,False,2016-05-25
週刊少年サンデー,C112731,キャラクタイムズゴールデン,0.6936384992243504,8.375,0.125,43.0,False,2015-07-29
週刊少年サンデー,C112735,古見さんは、コミュ症です。,0.5269268774703557,5.25,0.0,96.0,False,2015-09-16
週刊少年サンデー,C112738,サンデー非科学研究所,0.9876371331857426,6.0,0.0,63.0,False,2016-04-06
週刊少年サンデー,C112743,双亡亭壊すべし,0.1544949403143977,28.25,0.375,62.0,False,2016-03-23
週刊少年サンデー,C112745,だめてらすさま。,0.2677815596945349,25.25,0.375,29.0,False,2015-12-02
週刊少年サンデー,C112746,ニッペン!,0.5711570664415649,28.0,0.125,19.0,False,2015-11-04
週刊少年サンデー,C112747,初恋ゾンビ,0.28938915865514553,26.25,0.375,85.0,False,2015-10-14
週刊少年サンデー,C112748,柊様は自分を探している。,0.13999099169582457,19.75,0.125,65.0,False,2016-02-03
週刊少年サンデー,C112750,ふれるときこえる,0.3551985192462259,27.0,0.25,37.0,False,2015-12-23
週刊少年サンデー,C112751,魔王城でおやすみ,0.22740081113899868,12.25,0.25,62.0,False,2016-05-11
週刊少年サンデー,C115424,RYOKO,0.2512008789331994,28.5,0.375,22.0,False,2016-10-19
週刊少年サンデー,C115465,舞妓さんちのまかないさん,0.2030620291710998,16.5,0.25,27.0,False,2016-12-28
週刊少年サンデー,C115520,天翔のクアドラブル,0.22725980279983554,27.5,0.375,14.0,False,2017-04-05
週刊少年サンデー,C115521,保安官エヴァンスの嘘 DEAD OR LOVE,0.246658758833402,21.75,0.375,14.0,False,2017-04-12
週刊少年サンデー,C115536,第九の波濤,0.2903531416407648,24.0,0.25,12.0,False,2017-04-19
週刊少年サンデー,C115544,妖怪ギガ,0.8608485775079527,12.5,0.125,11.0,False,2017-04-26
週刊少年サンデー,C115561,キング・オブ・アイドル,0.14131687953487085,27.25,0.25,10.0,False,2017-05-10
週刊少年サンデー,C115562,隕石少女 -メテオガール-,0.3479953739113664,26.25,0.375,9.0,False,2017-05-17
週刊少年サンデー,C91636,365歩のユウキ!!!,0.37430383309367715,24.5,0.25,36.0,False,2002-01-23
週刊少年サンデー,C91643,KATSU!,0.06502376729954497,23.25,0.375,157.0,False,2001-08-22
週刊少年サンデー,C91645,KING GOLF,0.3736254362235999,24.375,0.25,149.0,False,2008-08-20
週刊少年サンデー,C91647,LOST+BRAIN,0.26830535402077177,25.75,0.25,27.0,False,2008-01-07
週刊少年サンデー,C91648,LOVe,0.18981910984303418,22.75,0.0,266.0,False,1993-08-18
週刊少年サンデー,C91653,MAJOR,0.2007556831004282,20.5,0.125,456.0,False,2000-09-27
週刊少年サンデー,C91654,MAOH,0.2701287564169272,24.125,0.125,33.0,False,1992-04-15
週刊少年サンデー,C91656,MISTERジパング,0.24720466360874815,24.25,0.25,78.0,False,2000-03-15
週刊少年サンデー,C91657,MiXiM♀12,0.24130221125558632,14.375,0.25,11.0,False,2008-05-07
週刊少年サンデー,C91658,MiXiM☆11,0.5212819476392393,12.75,0.125,118.0,False,2008-07-30
週刊少年サンデー,C91663,BIRDMEN,0.10173253678495767,36.875,0.375,51.0,False,2013-07-17
週刊少年サンデー,C91671,DAN DOH Xi,0.20667493983516377,22.75,0.125,134.0,False,2000-07-19
週刊少年サンデー,C91672,DAN DOH!! ネクストジェネレーション,0.3253416908351347,27.5,0.25,34.0,False,2004-04-07
週刊少年サンデー,C91675,DEFENSE DEVIL,0.28105392134345314,27.5,0.125,100.0,False,2009-04-22
週刊少年サンデー,C91676,DIVE!!,0.2503045349405747,24.5,0.25,47.0,False,2007-06-27
週刊少年サンデー,C91677,D-LIVE!!,0.26875143411098973,23.0,0.125,163.0,False,2002-10-16
週刊少年サンデー,C91681,DUEL MASTERS Rev.,0.4316537959745057,22.75,0.125,42.0,False,2012-08-29
週刊少年サンデー,C91688,MY SWEET SUNDAY 紙とインクと徹夜の日々,0.6794045539233196,9.625,0.125,18.0,False,2008-04-02
週刊少年サンデー,C91690,NOBELU -演-,0.30837269642755843,29.25,0.25,76.0,False,2013-03-20
週刊少年サンデー,C91698,PATI-PATI,0.6113875463685415,22.25,0.0,11.0,False,1991-01-23
週刊少年サンデー,C91706,RANGEMAN,0.31227212425262135,24.75,0.25,59.0,False,2006-06-21
週刊少年サンデー,C91709,SALAD DAYS,0.4730311961526753,26.5,0.0,155.0,False,1997-11-12
週刊少年サンデー,C91730,アクシデンツ,0.5083160211862584,25.25,0.0,101.0,False,1996-01-18
週刊少年サンデー,C91767,Tomorrows アンアンたちの革命,0.29731892722120196,26.625,0.25,36.0,False,2009-10-07
週刊少年サンデー,C91769,T.R.A.P.,0.32913776880687484,22.75,0.25,48.0,False,2010-03-17
週刊少年サンデー,C91773,VERY GOOD 満天!!,0.12847308578791106,28.5,0.25,25.0,False,1991-03-27
週刊少年サンデー,C91788,アーティスト・アクロ,0.8299232945775423,21.75,0.0,23.0,False,2007-06-13
週刊少年サンデー,C91789,アーティスト アクロ,0.3787861086216507,27.5,0.375,43.0,False,2008-07-16
週刊少年サンデー,C91790,あいこら,0.3831386193702578,22.75,0.25,118.0,False,2005-07-20
週刊少年サンデー,C92059,AKB48殺人事件,0.28198804554534607,20.0,0.125,9.0,False,2012-07-04
週刊少年サンデー,C92060,ARAGO-ロンドン市警特殊犯罪捜査官-,0.20687035185574865,30.5,0.375,85.0,False,2009-12-23
週刊少年サンデー,C92061,AREA D 異能領域,0.3622796401992784,26.25,0.125,137.0,False,2012-03-14
週刊少年サンデー,C92067,BE BLUES! ～青になれ～,0.13418064114942252,26.25,0.25,296.0,False,2011-01-26
週刊少年サンデー,C92069,BFボーイズ,0.33990848442041866,22.75,0.0,37.0,False,1993-05-12
週刊少年サンデー,C92071,FCレッドカード,0.32478927867411167,3.5,0.0,73.0,False,1993-08-11
週刊少年サンデー,C92073,GAN★KON 願婚,0.3075281242710176,33.0,0.5,42.0,False,2011-02-23
週刊少年サンデー,C92075,GOLDEN☆AGE,0.23300975370755062,27.75,0.25,123.0,False,2006-05-10
週刊少年サンデー,C92082,H2,0.09646840084586941,21.75,0.375,338.0,False,1992-07-29
週刊少年サンデー,C92084,HEAVY METAL甲子園,0.16650602427357827,23.875,0.125,38.0,False,1990-10-31
週刊少年サンデー,C92089,HORIZON,0.2372038884662375,27.25,0.375,61.0,False,2001-05-02
週刊少年サンデー,C92092,IFRIT[断罪の炎人],0.28460172715789706,30.25,0.125,82.0,False,2007-01-03
週刊少年サンデー,C92106,アナグルモール,0.2767562872192192,25.5,0.25,47.0,False,2011-10-19
週刊少年サンデー,C92108,あなたの街の荒川権造,0.5142041695415451,10.5,0.0,10.0,False,1993-10-27
週刊少年サンデー,C92109,兄ふんじゃった!,0.4666489030468397,10.25,0.0,142.0,False,2005-02-09
週刊少年サンデー,C92111,姉ログ 靄子姉さんの止まらないモノローグ,0.1778850923382173,6.125,0.125,281.0,False,2012-09-19
週刊少年サンデー,C92123,アホアホ学園,0.5367093737334007,8.875,0.0,95.0,False,1995-01-01
週刊少年サンデー,C92126,甘く危険なナンパ刑事,0.32551333951129097,19.5,0.125,25.0,False,1990-03-07
週刊少年サンデー,C92131,歩武の駒,0.5917258912381633,21.875,0.0,50.0,False,1999-03-17
週刊少年サンデー,C92159,いただきます!,0.37341603361644593,24.125,0.125,104.0,False,1993-02-10
週刊少年サンデー,C92162,一番湯のカナタ,0.17900315104857267,22.875,0.375,29.0,False,2002-05-08
週刊少年サンデー,C92168,いつも美空,0.11120005949289574,22.0,0.375,49.0,False,2000-05-10
週刊少年サンデー,C92169,いつわりびと◆空◆,0.3818249806133028,26.5,0.25,51.0,False,2009-02-11
週刊少年サンデー,C92171,県立伊手高柔道部物語 いでじゅう!,0.5345536788264506,18.0,0.125,141.0,False,2002-07-31
週刊少年サンデー,C92177,犬部 -ボクらのしっぽ戦記-,0.4016060880196617,37.25,0.375,22.0,False,2011-05-25
週刊少年サンデー,C92183,機動公務員かもしか!,0.19695025730861737,21.125,0.25,56.0,False,1999-05-12
週刊少年サンデー,C92189,きみのカケラ,0.2895182237900008,26.5,0.125,39.0,False,2002-09-04
週刊少年サンデー,C92192,キャラクタイズム,0.6249168682879682,8.25,0.125,131.0,False,2013-01-09
週刊少年サンデー,C92195,ギャンブルッ!,0.46318726771085167,29.125,0.125,104.0,False,2007-01-14
週刊少年サンデー,C92205,今日から俺は!!,0.3549235438448902,21.0,0.125,341.0,False,1990-09-19
週刊少年サンデー,C92218,キリヲテリブル,0.38825299766846527,25.5,0.25,37.0,False,2014-03-05
週刊少年サンデー,C92223,白銀のパラディン-聖騎士-,0.42214398622329774,27.0,0.375,47.0,False,2014-04-30
週刊少年サンデー,C92234,クナイ伝,0.23667948197261846,31.25,0.25,37.0,False,2007-02-07
週刊少年サンデー,C92235,國崎出雲の事情,0.26477706557436986,28.0,0.25,189.0,False,2009-03-04
週刊少年サンデー,C92262,皇帝戦士 斑鳩 聖徳太子異伝,0.521959793506626,23.125,0.125,13.0,False,1992-04-08
週刊少年サンデー,C92264,鋼鉄の華っ柱,0.11506712480246194,23.5,0.125,90.0,False,2010-09-29
週刊少年サンデー,C92279,キャプテン・アース,0.527379558371723,21.0,0.125,19.0,False,2014-04-09
週刊少年サンデー,C92281,今際の国のアリス,0.3860008677750125,34.25,0.5,35.0,False,2012-07-11
週刊少年サンデー,C92291,うえきの法則＋,0.15892170215938844,28.75,0.375,46.0,False,2005-04-20
週刊少年サンデー,C92299,クロザクロ,0.3243663957535518,24.25,0.25,67.0,False,2004-08-11
週刊少年サンデー,C92303,クロノ・モノクローム,0.20256034340174153,28.5,0.25,47.0,False,2013-12-04
週刊少年サンデー,C92313,ゲイン,0.2073760604519188,24.5,0.375,68.0,False,1997-01-01
週刊少年サンデー,C92317,激犬シアター,0.6459543986504049,3.5,0.0,48.0,False,1994-01-01
週刊少年サンデー,C92318,激猿シアター,0.5535672192356279,4.875,0.0,25.0,False,1992-04-08
週刊少年サンデー,C92323,激鳥シアター,0.7283953371516508,2.875,0.0,48.0,False,1993-01-01
週刊少年サンデー,C92330,月光条例,0.20758000515993907,29.5,0.25,286.0,False,2008-04-09
週刊少年サンデー,C92351,小悪魔王伝 戦コレ!,0.40920778544668596,19.875,0.125,20.0,False,2012-04-11
週刊少年サンデー,C92355,ウェルカム,0.4208019688955197,22.75,0.25,9.0,False,1990-04-04
週刊少年サンデー,C92369,売ったれダイキチ!,0.3429962530440735,29.0,0.25,35.0,False,2003-05-14
週刊少年サンデー,C92375,ウノケンの爆発ウギャー!!,0.3644257664598365,7.75,0.125,72.0,False,1990-04-11
週刊少年サンデー,C92389,噂の男前!,0.1399383075929265,23.875,0.125,81.0,False,1993-12-15
週刊少年サンデー,C92391,EとT。 えいがとてんし。,0.26638175391257646,21.125,0.375,52.0,False,2014-06-04
週刊少年サンデー,C92412,エンヤ KODOMO忍法帖,0.27892778538840574,4.625,0.125,123.0,False,1995-05-10
週刊少年サンデー,C92424,王立院雲丸の生涯 昭和雄雲録,0.23620788459742828,26.5,0.25,34.0,False,1991-07-03
週刊少年サンデー,C92441,鳳ボンバー,0.2947071240119663,23.375,0.125,48.0,False,2002-05-22
週刊少年サンデー,C92448,おさるなまさるくん,0.35840786482984316,10.375,0.0,59.0,False,1993-08-11
週刊少年サンデー,C92451,おじさんBOY! 小学中学生,0.3825952955809189,15.25,0.0,30.0,False,1991-11-13
週刊少年サンデー,C92455,おすもじっ! 司の一貫,0.4185073945172727,27.5,0.25,90.0,False,2011-03-23
週刊少年サンデー,C92459,お茶にごす。,0.21988791400502752,21.75,0.25,108.0,False,2007-04-18
週刊少年サンデー,C92462,オッス!少林寺,0.34545099310378935,23.5,0.0,67.0,False,1992-05-13
週刊少年サンデー,C92480,オニデレ,0.4367598476118894,14.0,0.125,142.0,False,2008-04-16
週刊少年サンデー,C92492,お坊サンバ!!,0.638208048831193,16.0,0.125,115.0,False,2005-09-14
週刊少年サンデー,C92503,俺様は?,0.5819104632921058,9.0,0.125,95.0,False,2003-01-29
週刊少年サンデー,C92506,俺たちのフィールド,0.34976383001399386,25.875,0.0,325.0,False,1992-01-11
週刊少年サンデー,C92533,怪奇千万!十五郎,0.416378606095551,26.25,0.25,17.0,False,2004-01-01
週刊少年サンデー,C92541,怪体真書0,0.4073449760535126,29.875,0.25,57.0,False,2008-09-17
週刊少年サンデー,C92558,学園帝国俺はジュウベイ!,0.44130576732870425,21.875,0.0,39.0,False,1993-01-07
週刊少年サンデー,C92564,影組,0.808760288618578,14.75,0.0,39.0,False,1998-04-01
週刊少年サンデー,C92573,旋風の橘,0.18771907417747322,24.75,0.375,47.0,False,2002-01-09
週刊少年サンデー,C92574,風の伝承者,0.40942909048548526,26.75,0.0,96.0,False,1997-12-10
週刊少年サンデー,C92582,ガチンコ,0.39229261950650396,23.125,0.0,12.0,False,1992-09-02
週刊少年サンデー,C92592,喝!!ワシが師匠ぜよ!,0.9680373532188465,13.5,0.0,9.0,False,2010-11-24
週刊少年サンデー,C92615,からくりサーカス,0.14255701275446536,27.125,0.5,425.0,False,1997-07-23
週刊少年サンデー,C92679,スピンナウト,0.24851151068800204,25.0,0.25,38.0,False,1998-08-12
週刊少年サンデー,C92723,聖結晶アルバトロス,0.19183800009716878,27.25,0.25,47.0,False,2006-01-01
週刊少年サンデー,C92725,青春学園,0.9653505557700436,4.625,0.0,8.0,False,2009-08-19
週刊少年サンデー,C92746,ダレン・シャン,0.21211590130003352,34.25,0.25,113.0,False,2006-08-23
週刊少年サンデー,C92756,ちいさいひと 青葉児童相談所物語,0.4614855034350631,35.25,0.25,14.0,False,2010-11-03
週刊少年サンデー,C92779,ゴーゴーえっちゃんのキャスター参るゾ!,0.4414533043137597,7.875,0.0,35.0,False,1995-03-15
週刊少年サンデー,C92782,暗号名はBF,0.4090589776824152,29.25,0.25,30.0,False,2003-07-09
週刊少年サンデー,C92798,大棟梁,0.4147763345302104,23.5,0.25,19.0,False,2000-08-23
週刊少年サンデー,C92802,ダイナマ伊藤!,0.8117612213901217,7.125,0.0,176.0,False,1999-04-07
週刊少年サンデー,C92813,太陽の戦士 ポカポカ,0.28424567531772277,20.25,0.125,49.0,False,1996-09-11
週刊少年サンデー,C92824,タキシード銀,0.19872862913664346,26.375,0.125,137.0,False,1997-03-26
週刊少年サンデー,C92828,タケル道,0.4095184490813419,24.0,0.25,25.0,False,2000-09-06
週刊少年サンデー,C92829,助けて!フラワーマン,0.5212317475896846,22.875,0.125,8.0,False,2006-11-01
週刊少年サンデー,C92834,正しいコドモの作り方!,0.22876250324058328,23.375,0.25,68.0,False,2012-04-25
週刊少年サンデー,C92844,たとえばこんなラヴ・ソング,0.3300248936246453,24.0,0.125,67.0,False,1990-06-27
週刊少年サンデー,C92848,タフ,0.22580079009645643,25.5,0.125,49.0,False,1990-08-01
週刊少年サンデー,C92860,國士無双!!,0.235558641779768,26.75,0.25,39.0,False,2013-07-31
週刊少年サンデー,C92893,こわしや我聞,0.44725130853181927,24.5,0.25,88.0,False,2004-02-25
週刊少年サンデー,C92895,金剛番長,0.20221609651482036,27.0,0.25,113.0,False,2007-11-07
週刊少年サンデー,C92908,最強!都立あおい坂高校野球部,0.31655626638068396,34.875,0.25,249.0,False,2005-01-19
週刊少年サンデー,C92910,サイケまたしても,0.3525847076617306,32.75,0.25,84.0,False,2014-07-09
週刊少年サンデー,C92915,最後は?ストレート!!,0.15043880393674533,27.5,0.25,146.0,False,2010-10-20
週刊少年サンデー,C92917,最上の命医,0.2232237146155779,30.625,0.25,109.0,False,2008-01-01
週刊少年サンデー,C92918,最上の明医 ～ザ・キング・オブ・ニート～,0.2664110747886164,28.25,0.25,176.0,False,2010-03-31
週刊少年サンデー,C92928,サクラにおまかせ,0.7007479149437443,4.875,0.0,9.0,False,1995-01-04
週刊少年サンデー,C92930,ささみさん@がんばらない,0.41521451271186444,13.5,0.125,36.0,False,2012-10-17
週刊少年サンデー,C92943,砂漠の野球部 第二部砂の嵐編,0.39672671500250273,23.0,0.125,105.0,False,1995-01-25
週刊少年サンデー,C92985,ジーザス,0.42108023933239924,21.75,0.0,125.0,False,1992-10-07
週刊少年サンデー,C92988,ジオと黄金と禁じられた魔法,0.3413039807907165,29.25,0.25,26.0,False,2009-07-29
週刊少年サンデー,C92995,思春期刑事ミノル小林,0.4359589036541791,16.75,0.25,67.0,False,2004-03-10
週刊少年サンデー,C93013,シャウト シブヤ・ロックンロール・ストーリー,0.45465987864807905,21.375,0.0,16.0,False,1994-08-31
週刊少年サンデー,C93014,じゃじゃ馬グルーミン★UP!,0.3362635704740968,18.625,0.125,281.0,False,1994-10-19
週刊少年サンデー,C93033,呪法解禁!!ハイド＆クローサー,0.17291237265711387,27.125,0.25,47.0,False,2008-01-14
週刊少年サンデー,C93061,ジョーダンじゃないよ!,0.2590431723325976,23.75,0.0,107.0,False,1992-08-19
週刊少年サンデー,C93083,神聖モテモテ王国,0.5146564641639373,9.0,0.0,153.0,False,1996-03-27
週刊少年サンデー,C93113,戦国甲子園 九犬士伝説,0.2964481417514361,24.5,0.25,42.0,False,1991-08-07
週刊少年サンデー,C93114,戦国八咫烏,0.3093874163776315,28.375,0.25,78.0,False,2010-05-19
週刊少年サンデー,C93126,ちくちくウニウニ,0.010180241843114725,15.0,0.0,16.0,False,1990-09-05
週刊少年サンデー,C93129,地底少年チャッピー,0.4464680619577265,16.0,0.125,37.0,False,2006-01-11
週刊少年サンデー,C93138,超推脳KEI 摩訶不思議事件ファイル,0.41949074636484884,25.75,0.25,61.0,False,2013-03-27
週刊少年サンデー,C93143,超龍戦記ザウロスナイト,0.43535435510340786,24.75,0.125,54.0,False,1992-01-01
週刊少年サンデー,C93149,ツール! Le Tour,0.2928776821482897,28.5,0.25,46.0,False,2009-11-04
週刊少年サンデー,C93160,♂ティンクル ティンクル ♀アイドル☆スター,0.24725270697472193,25.125,0.25,97.0,False,1990-08-29
週刊少年サンデー,C93180,デビデビ,0.2944433768013659,24.5,0.125,144.0,False,1997-09-24
週刊少年サンデー,C93198,電人1号,0.7863849405218418,16.0,0.0,8.0,False,2003-03-05
週刊少年サンデー,C93206,電脳遊戯クラブ,0.45915587167340494,17.375,0.25,69.0,False,2009-07-01
週刊少年サンデー,C93216,東京番長,0.23382977260214396,23.5,0.0,112.0,False,1995-01-04
週刊少年サンデー,C93217,東京刑事,0.4011584984577875,24.25,0.0,17.0,False,1999-01-16
週刊少年サンデー,C93224,道士郎でござる,0.0597806352380221,23.125,0.25,79.0,False,2004-05-12
