マンガ雑誌名,アニメ化,話数,平均掲載位置,平均ページ数,カラー獲得率,作品数
週刊少年サンデー,False,1,0.14537500600127196,42.3921568627451,0.7254901960784313,255
週刊少年サンデー,False,2,0.276159271401377,26.811764705882354,0.16862745098039217,255
週刊少年サンデー,False,3,0.32379819489815215,20.584313725490198,0.12549019607843137,255
週刊少年サンデー,False,4,0.355676788919296,18.094117647058823,0.12941176470588237,255
週刊少年サンデー,False,5,0.39027473955314934,17.49411764705882,0.09803921568627451,255
週刊少年サンデー,False,6,0.41092922725809566,17.341176470588234,0.10196078431372549,255
週刊少年サンデー,False,7,0.4274649295617877,17.266666666666666,0.058823529411764705,255
週刊少年サンデー,False,8,0.4640735768391655,17.392156862745097,0.08235294117647059,255
週刊少年サンデー,True,1,0.0703643154245367,43.875,0.84375,32
週刊少年サンデー,True,2,0.20921994933581758,29.375,0.28125,32
週刊少年サンデー,True,3,0.2693028844716058,21.71875,0.25,32
週刊少年サンデー,True,4,0.2927078945664671,19.59375,0.1875,32
週刊少年サンデー,True,5,0.26541972474490577,19.9375,0.09375,32
週刊少年サンデー,True,6,0.2965394689376127,19.53125,0.25,32
週刊少年サンデー,True,7,0.3014518253289199,18.5625,0.0625,32
週刊少年サンデー,True,8,0.3003243280277872,18.25,0.15625,32
週刊少年ジャンプ,False,1,0.16923037917929729,54.607638888888886,0.84375,288
週刊少年ジャンプ,False,2,0.30283356324274263,32.048611111111114,0.4826388888888889,288
週刊少年ジャンプ,False,3,0.4114213768002875,20.99652777777778,0.2048611111111111,288
週刊少年ジャンプ,False,4,0.433467977737678,19.04861111111111,0.1423611111111111,288
週刊少年ジャンプ,False,5,0.48902523096134154,18.12847222222222,0.05555555555555555,288
週刊少年ジャンプ,False,6,0.5432654744111642,17.885416666666668,0.017361111111111112,288
週刊少年ジャンプ,False,7,0.5935853780858175,17.90277777777778,0.034722222222222224,288
週刊少年ジャンプ,False,8,0.6414204543627525,17.90277777777778,0.03819444444444445,288
週刊少年ジャンプ,True,1,0.16192389850895017,57.142857142857146,0.8571428571428571,49
週刊少年ジャンプ,True,2,0.28250836002586505,34.673469387755105,0.4897959183673469,49
週刊少年ジャンプ,True,3,0.39366213472460687,24.102040816326532,0.16326530612244897,49
週刊少年ジャンプ,True,4,0.33939324551107364,21.428571428571427,0.2857142857142857,49
週刊少年ジャンプ,True,5,0.39100289725295695,19.693877551020407,0.12244897959183673,49
週刊少年ジャンプ,True,6,0.4312279734948064,19.6734693877551,0.061224489795918366,49
週刊少年ジャンプ,True,7,0.4174303806190082,20.040816326530614,0.04081632653061224,49
週刊少年ジャンプ,True,8,0.3891853509337486,20.367346938775512,0.10204081632653061,49
週刊少年チャンピオン,False,1,0.16205483934164697,37.31758530183727,0.7060367454068242,381
週刊少年チャンピオン,False,2,0.2990357769994574,24.490813648293962,0.2020997375328084,381
週刊少年チャンピオン,False,3,0.39900851296010437,19.503937007874015,0.05774278215223097,381
週刊少年チャンピオン,False,4,0.4457234131102344,18.139107611548557,0.05249343832020997,381
週刊少年チャンピオン,False,5,0.48539654228164975,17.971128608923884,0.06561679790026247,381
週刊少年チャンピオン,False,6,0.4883953256637317,17.89763779527559,0.04461942257217848,381
週刊少年チャンピオン,False,7,0.5229752339093856,17.908136482939632,0.06561679790026247,381
週刊少年チャンピオン,False,8,0.5637313976335644,17.78215223097113,0.049868766404199474,381
週刊少年チャンピオン,True,1,0.17890071246982078,32.72727272727273,0.7272727272727273,11
週刊少年チャンピオン,True,2,0.2547702680737323,22.454545454545453,0.18181818181818182,11
週刊少年チャンピオン,True,3,0.2928079281027973,19.363636363636363,0.09090909090909091,11
週刊少年チャンピオン,True,4,0.36132264464258745,17.363636363636363,0.09090909090909091,11
週刊少年チャンピオン,True,5,0.4719271332064297,16.545454545454547,0.09090909090909091,11
週刊少年チャンピオン,True,6,0.3918129295152486,16.545454545454547,0.09090909090909091,11
週刊少年チャンピオン,True,7,0.39922630670350556,16.727272727272727,0.09090909090909091,11
週刊少年チャンピオン,True,8,0.3343477039622654,16.0,0.0,11
週刊少年マガジン,False,1,0.1406385873642932,53.65845070422535,0.8204225352112676,284
週刊少年マガジン,False,2,0.2945669071730871,34.16549295774648,0.07042253521126761,284
週刊少年マガジン,False,3,0.3693475051137817,25.619718309859156,0.03169014084507042,284
週刊少年マガジン,False,4,0.42145492068788676,19.950704225352112,0.02464788732394366,284
週刊少年マガジン,False,5,0.49476377605623617,18.22887323943662,0.056338028169014086,284
週刊少年マガジン,False,6,0.5172601831380136,17.577464788732396,0.035211267605633804,284
週刊少年マガジン,False,7,0.5438444534679263,17.651408450704224,0.056338028169014086,284
週刊少年マガジン,False,8,0.6056164234113544,17.97887323943662,0.045774647887323945,284
週刊少年マガジン,True,1,0.1750976955135639,52.972972972972975,0.8648648648648649,37
週刊少年マガジン,True,2,0.250090199163001,33.62162162162162,0.13513513513513514,37
週刊少年マガジン,True,3,0.31021519571903244,23.594594594594593,0.0,37
週刊少年マガジン,True,4,0.393145099580653,18.72972972972973,0.0,37
週刊少年マガジン,True,5,0.44207629310986085,17.83783783783784,0.05405405405405406,37
週刊少年マガジン,True,6,0.46777618896811446,17.54054054054054,0.08108108108108109,37
週刊少年マガジン,True,7,0.4316915146108632,18.324324324324323,0.05405405405405406,37
週刊少年マガジン,True,8,0.38868115572861833,17.324324324324323,0.05405405405405406,37
