マンガ作品ID,マンガ各話ID,掲載日,掲載位置,アニメ化,マンガ雑誌名
C109295,CE71082,1980-08-18,0.0152905198776758,False,週刊少年ジャンプ
C109295,CE71068,1980-08-25,0.1987767584097859,False,週刊少年ジャンプ
C109295,CE71051,1980-09-01,0.2660550458715596,False,週刊少年ジャンプ
C109295,CE71038,1980-09-08,0.3944954128440367,False,週刊少年ジャンプ
C109295,CE71019,1980-09-15,0.2660550458715596,False,週刊少年ジャンプ
C109295,CE71000,1980-09-22,0.1367781155015197,False,週刊少年ジャンプ
C109295,CE70988,1980-09-29,0.3730886850152905,False,週刊少年ジャンプ
C109295,CE70971,1980-10-06,0.4311926605504587,False,週刊少年ジャンプ
C109296,CE64325,1988-10-03,0.3317422434367542,False,週刊少年ジャンプ
C109296,CE64021,1989-01-22,0.3563218390804598,False,週刊少年ジャンプ
C109296,CE63663,1989-05-29,0.0316301703163017,False,週刊少年ジャンプ
C109296,CE63646,1989-06-05,0.2182254196642686,False,週刊少年ジャンプ
C109296,CE62231,1989-06-12,0.3860911270983213,False,週刊少年ジャンプ
C109296,CE63609,1989-06-19,0.0909090909090909,False,週刊少年ジャンプ
C109296,CE63602,1989-06-26,0.7128953771289538,False,週刊少年ジャンプ
C109296,CE63576,1989-07-03,0.4054054054054054,False,週刊少年ジャンプ
C110892,CE177364,2014-08-04,0.006,False,週刊少年ジャンプ
C110892,CE177390,2014-08-11,0.180161943319838,False,週刊少年ジャンプ
C110892,CE177415,2014-08-18,0.3313008130081301,False,週刊少年ジャンプ
C110892,CE177435,2014-09-01,0.234,False,週刊少年ジャンプ
C110892,CE177471,2014-09-08,0.6964285714285714,False,週刊少年ジャンプ
C110892,CE177497,2014-09-15,0.8061224489795918,False,週刊少年ジャンプ
C110892,CE177520,2014-09-22,0.7326530612244898,False,週刊少年ジャンプ
C110892,CE177546,2014-09-29,0.9377510040160644,False,週刊少年ジャンプ
C110897,CE176955,2014-08-27,0.0286259541984732,False,週刊少年マガジン
C110897,CE176989,2014-09-03,0.1488888888888888,False,週刊少年マガジン
C110897,CE177013,2014-09-10,0.1711111111111111,False,週刊少年マガジン
C110897,CE177044,2014-09-17,0.3683035714285714,False,週刊少年マガジン
C110897,CE177067,2014-09-24,0.1941964285714285,False,週刊少年マガジン
C110897,CE177107,2014-10-01,0.7209821428571429,False,週刊少年マガジン
C110897,CE177121,2014-10-08,0.2155555555555555,False,週刊少年マガジン
C110897,CE177147,2014-10-15,0.2422222222222222,False,週刊少年マガジン
C110898,CE176958,2014-08-27,0.2080152671755725,False,週刊少年マガジン
C110898,CE179362,2015-02-04,0.5807174887892377,False,週刊少年マガジン
C110898,CE179661,2015-04-29,0.2476851851851851,False,週刊少年マガジン
C110898,CE179662,2015-04-29,0.261574074074074,False,週刊少年マガジン
C110898,CE179683,2015-05-13,0.1310483870967742,False,週刊少年マガジン
C110898,CE179684,2015-05-13,0.1431451612903226,False,週刊少年マガジン
C110898,CE179724,2015-05-20,0.6118421052631579,False,週刊少年マガジン
C110898,CE179725,2015-05-20,0.625,False,週刊少年マガジン
C110901,CE176466,2014-08-06,0.0328185328185328,False,週刊少年サンデー
C110901,CE176467,2014-08-06,0.0714285714285714,False,週刊少年サンデー
C110901,CE176497,2014-08-20,0.1927966101694915,False,週刊少年サンデー
