連載開始年,アニメ化,マンガ作品数,first_year_cc_total,比率
1990,True,4,50,0.08
1990,False,46,50,0.92
1991,True,3,51,0.058823529411764705
1991,False,48,51,0.9411764705882353
1992,True,1,45,0.022222222222222223
1992,False,44,45,0.9777777777777777
1993,True,6,46,0.13043478260869565
1993,False,40,46,0.8695652173913043
1994,True,5,51,0.09803921568627451
1994,False,46,51,0.9019607843137255
1995,True,6,50,0.12
1995,False,44,50,0.88
1996,True,5,48,0.10416666666666667
1996,False,43,48,0.8958333333333334
1997,True,3,49,0.061224489795918366
1997,False,46,49,0.9387755102040817
1998,True,5,32,0.15625
1998,False,27,32,0.84375
1999,True,6,37,0.16216216216216217
1999,False,31,37,0.8378378378378378
2000,True,5,60,0.08333333333333333
2000,False,55,60,0.9166666666666666
2001,True,6,48,0.125
2001,False,42,48,0.875
2002,True,9,54,0.16666666666666666
2002,False,45,54,0.8333333333333334
2003,True,8,45,0.17777777777777778
2003,False,37,45,0.8222222222222222
2004,True,6,54,0.1111111111111111
2004,False,48,54,0.8888888888888888
2005,True,4,44,0.09090909090909091
2005,False,40,44,0.9090909090909091
2006,True,7,61,0.11475409836065574
2006,False,54,61,0.8852459016393442
2007,True,4,40,0.1
2007,False,36,40,0.9
2008,True,8,56,0.14285714285714285
2008,False,48,56,0.8571428571428571
2009,True,6,54,0.1111111111111111
2009,False,48,54,0.8888888888888888
2010,True,1,31,0.03225806451612903
2010,False,30,31,0.967741935483871
2011,True,6,52,0.11538461538461539
2011,False,46,52,0.8846153846153846
2012,True,5,45,0.1111111111111111
2012,False,40,45,0.8888888888888888
2013,True,6,55,0.10909090909090909
2013,False,49,55,0.8909090909090909
2014,True,3,60,0.05
2014,False,57,60,0.95
2015,False,52,52,1.0
2016,True,1,42,0.023809523809523808
2016,False,41,42,0.9761904761904762
2017,False,25,25,1.0
