マンガ雑誌名,連載開始年,アニメ化,マンガ作品数,mcname_fyear_total,比率
週刊少年サンデー,1990,True,1,12,0.08333333333333333
週刊少年サンデー,1990,False,11,12,0.9166666666666666
週刊少年サンデー,1991,True,1,10,0.1
週刊少年サンデー,1991,False,9,10,0.9
週刊少年サンデー,1992,False,14,14,1.0
週刊少年サンデー,1993,False,9,9,1.0
週刊少年サンデー,1994,True,3,11,0.2727272727272727
週刊少年サンデー,1994,False,8,11,0.7272727272727273
週刊少年サンデー,1995,True,2,10,0.2
週刊少年サンデー,1995,False,8,10,0.8
週刊少年サンデー,1996,True,2,9,0.2222222222222222
週刊少年サンデー,1996,False,7,9,0.7777777777777778
週刊少年サンデー,1997,True,1,9,0.1111111111111111
週刊少年サンデー,1997,False,8,9,0.8888888888888888
週刊少年サンデー,1998,False,2,2,1.0
週刊少年サンデー,1999,True,1,8,0.125
週刊少年サンデー,1999,False,7,8,0.875
週刊少年サンデー,2000,False,13,13,1.0
週刊少年サンデー,2001,True,3,10,0.3
週刊少年サンデー,2001,False,7,10,0.7
週刊少年サンデー,2002,True,2,10,0.2
週刊少年サンデー,2002,False,8,10,0.8
週刊少年サンデー,2003,True,2,9,0.2222222222222222
週刊少年サンデー,2003,False,7,9,0.7777777777777778
週刊少年サンデー,2004,True,2,10,0.2
週刊少年サンデー,2004,False,8,10,0.8
週刊少年サンデー,2005,True,1,9,0.1111111111111111
週刊少年サンデー,2005,False,8,9,0.8888888888888888
週刊少年サンデー,2006,True,1,10,0.1
週刊少年サンデー,2006,False,9,10,0.9
週刊少年サンデー,2007,False,9,9,1.0
週刊少年サンデー,2008,True,2,15,0.13333333333333333
週刊少年サンデー,2008,False,13,15,0.8666666666666667
週刊少年サンデー,2009,True,2,13,0.15384615384615385
週刊少年サンデー,2009,False,11,13,0.8461538461538461
週刊少年サンデー,2010,False,7,7,1.0
週刊少年サンデー,2011,True,3,11,0.2727272727272727
週刊少年サンデー,2011,False,8,11,0.7272727272727273
週刊少年サンデー,2012,False,10,10,1.0
週刊少年サンデー,2013,True,2,10,0.2
週刊少年サンデー,2013,False,8,10,0.8
週刊少年サンデー,2014,True,1,16,0.0625
週刊少年サンデー,2014,False,15,16,0.9375
週刊少年サンデー,2015,False,17,17,1.0
週刊少年サンデー,2016,False,8,8,1.0
週刊少年サンデー,2017,False,6,6,1.0
週刊少年ジャンプ,1990,True,2,13,0.15384615384615385
週刊少年ジャンプ,1990,False,11,13,0.8461538461538461
週刊少年ジャンプ,1991,False,12,12,1.0
週刊少年ジャンプ,1992,False,13,13,1.0
週刊少年ジャンプ,1993,True,4,11,0.36363636363636365
週刊少年ジャンプ,1993,False,7,11,0.6363636363636364
週刊少年ジャンプ,1994,True,2,19,0.10526315789473684
週刊少年ジャンプ,1994,False,17,19,0.8947368421052632
週刊少年ジャンプ,1995,True,3,13,0.23076923076923078
週刊少年ジャンプ,1995,False,10,13,0.7692307692307693
週刊少年ジャンプ,1996,True,3,13,0.23076923076923078
週刊少年ジャンプ,1996,False,10,13,0.7692307692307693
週刊少年ジャンプ,1997,True,1,13,0.07692307692307693
週刊少年ジャンプ,1997,False,12,13,0.9230769230769231
週刊少年ジャンプ,1998,True,4,14,0.2857142857142857
週刊少年ジャンプ,1998,False,10,14,0.7142857142857143
週刊少年ジャンプ,1999,True,2,9,0.2222222222222222
週刊少年ジャンプ,1999,False,7,9,0.7777777777777778
週刊少年ジャンプ,2000,True,2,15,0.13333333333333333
週刊少年ジャンプ,2000,False,13,15,0.8666666666666667
週刊少年ジャンプ,2001,True,1,11,0.09090909090909091
週刊少年ジャンプ,2001,False,10,11,0.9090909090909091
週刊少年ジャンプ,2002,True,3,9,0.3333333333333333
週刊少年ジャンプ,2002,False,6,9,0.6666666666666666
週刊少年ジャンプ,2003,True,3,14,0.21428571428571427
週刊少年ジャンプ,2003,False,11,14,0.7857142857142857
週刊少年ジャンプ,2004,True,3,11,0.2727272727272727
週刊少年ジャンプ,2004,False,8,11,0.7272727272727273
週刊少年ジャンプ,2005,False,9,9,1.0
週刊少年ジャンプ,2006,True,2,12,0.16666666666666666
週刊少年ジャンプ,2006,False,10,12,0.8333333333333334
週刊少年ジャンプ,2007,True,2,11,0.18181818181818182
週刊少年ジャンプ,2007,False,9,11,0.8181818181818182
週刊少年ジャンプ,2008,True,2,12,0.16666666666666666
週刊少年ジャンプ,2008,False,10,12,0.8333333333333334
週刊少年ジャンプ,2009,True,2,17,0.11764705882352941
週刊少年ジャンプ,2009,False,15,17,0.8823529411764706
週刊少年ジャンプ,2010,False,5,5,1.0
週刊少年ジャンプ,2011,True,2,12,0.16666666666666666
週刊少年ジャンプ,2011,False,10,12,0.8333333333333334
週刊少年ジャンプ,2012,True,3,13,0.23076923076923078
週刊少年ジャンプ,2012,False,10,13,0.7692307692307693
週刊少年ジャンプ,2013,True,1,13,0.07692307692307693
週刊少年ジャンプ,2013,False,12,13,0.9230769230769231
週刊少年ジャンプ,2014,True,1,15,0.06666666666666667
週刊少年ジャンプ,2014,False,14,15,0.9333333333333333
週刊少年ジャンプ,2015,False,12,12,1.0
週刊少年ジャンプ,2016,True,1,10,0.1
週刊少年ジャンプ,2016,False,9,10,0.9
週刊少年ジャンプ,2017,False,6,6,1.0
週刊少年チャンピオン,1990,False,14,14,1.0
週刊少年チャンピオン,1991,True,1,15,0.06666666666666667
週刊少年チャンピオン,1991,False,14,15,0.9333333333333333
週刊少年チャンピオン,1992,False,10,10,1.0
週刊少年チャンピオン,1993,True,1,17,0.058823529411764705
週刊少年チャンピオン,1993,False,16,17,0.9411764705882353
週刊少年チャンピオン,1994,False,13,13,1.0
週刊少年チャンピオン,1995,False,16,16,1.0
週刊少年チャンピオン,1996,False,13,13,1.0
週刊少年チャンピオン,1997,False,15,15,1.0
週刊少年チャンピオン,1998,False,9,9,1.0
週刊少年チャンピオン,1999,False,11,11,1.0
週刊少年チャンピオン,2000,True,1,12,0.08333333333333333
週刊少年チャンピオン,2000,False,11,12,0.9166666666666666
週刊少年チャンピオン,2001,True,1,14,0.07142857142857142
週刊少年チャンピオン,2001,False,13,14,0.9285714285714286
週刊少年チャンピオン,2002,True,1,20,0.05
週刊少年チャンピオン,2002,False,19,20,0.95
週刊少年チャンピオン,2003,False,10,10,1.0
週刊少年チャンピオン,2004,True,1,19,0.05263157894736842
週刊少年チャンピオン,2004,False,18,19,0.9473684210526315
週刊少年チャンピオン,2005,False,13,13,1.0
週刊少年チャンピオン,2006,True,1,23,0.043478260869565216
週刊少年チャンピオン,2006,False,22,23,0.9565217391304348
週刊少年チャンピオン,2007,True,1,13,0.07692307692307693
週刊少年チャンピオン,2007,False,12,13,0.9230769230769231
週刊少年チャンピオン,2008,True,1,15,0.06666666666666667
週刊少年チャンピオン,2008,False,14,15,0.9333333333333333
週刊少年チャンピオン,2009,False,14,14,1.0
週刊少年チャンピオン,2010,True,1,16,0.0625
週刊少年チャンピオン,2010,False,15,16,0.9375
週刊少年チャンピオン,2011,False,18,18,1.0
週刊少年チャンピオン,2012,False,13,13,1.0
週刊少年チャンピオン,2013,True,1,16,0.0625
週刊少年チャンピオン,2013,False,15,16,0.9375
週刊少年チャンピオン,2014,False,14,14,1.0
週刊少年チャンピオン,2015,False,12,12,1.0
週刊少年チャンピオン,2016,False,11,11,1.0
週刊少年チャンピオン,2017,False,6,6,1.0
週刊少年マガジン,1990,True,1,11,0.09090909090909091
週刊少年マガジン,1990,False,10,11,0.9090909090909091
週刊少年マガジン,1991,True,1,14,0.07142857142857142
週刊少年マガジン,1991,False,13,14,0.9285714285714286
週刊少年マガジン,1992,True,1,8,0.125
週刊少年マガジン,1992,False,7,8,0.875
週刊少年マガジン,1993,True,1,9,0.1111111111111111
週刊少年マガジン,1993,False,8,9,0.8888888888888888
週刊少年マガジン,1994,False,8,8,1.0
週刊少年マガジン,1995,True,1,11,0.09090909090909091
週刊少年マガジン,1995,False,10,11,0.9090909090909091
週刊少年マガジン,1996,False,13,13,1.0
週刊少年マガジン,1997,True,1,12,0.08333333333333333
週刊少年マガジン,1997,False,11,12,0.9166666666666666
週刊少年マガジン,1998,True,1,7,0.14285714285714285
週刊少年マガジン,1998,False,6,7,0.8571428571428571
週刊少年マガジン,1999,True,3,9,0.3333333333333333
週刊少年マガジン,1999,False,6,9,0.6666666666666666
週刊少年マガジン,2000,True,2,20,0.1
週刊少年マガジン,2000,False,18,20,0.9
週刊少年マガジン,2001,True,1,13,0.07692307692307693
週刊少年マガジン,2001,False,12,13,0.9230769230769231
週刊少年マガジン,2002,True,3,15,0.2
週刊少年マガジン,2002,False,12,15,0.8
週刊少年マガジン,2003,True,3,12,0.25
週刊少年マガジン,2003,False,9,12,0.75
週刊少年マガジン,2004,False,14,14,1.0
週刊少年マガジン,2005,True,3,13,0.23076923076923078
週刊少年マガジン,2005,False,10,13,0.7692307692307693
週刊少年マガジン,2006,True,3,16,0.1875
週刊少年マガジン,2006,False,13,16,0.8125
週刊少年マガジン,2007,True,1,7,0.14285714285714285
週刊少年マガジン,2007,False,6,7,0.8571428571428571
週刊少年マガジン,2008,True,3,14,0.21428571428571427
週刊少年マガジン,2008,False,11,14,0.7857142857142857
週刊少年マガジン,2009,True,2,10,0.2
週刊少年マガジン,2009,False,8,10,0.8
週刊少年マガジン,2010,False,3,3,1.0
週刊少年マガジン,2011,True,1,11,0.09090909090909091
週刊少年マガジン,2011,False,10,11,0.9090909090909091
週刊少年マガジン,2012,True,2,9,0.2222222222222222
週刊少年マガジン,2012,False,7,9,0.7777777777777778
週刊少年マガジン,2013,True,2,16,0.125
週刊少年マガジン,2013,False,14,16,0.875
週刊少年マガジン,2014,True,1,15,0.06666666666666667
週刊少年マガジン,2014,False,14,15,0.9333333333333333
週刊少年マガジン,2015,False,11,11,1.0
週刊少年マガジン,2016,False,13,13,1.0
週刊少年マガジン,2017,False,7,7,1.0
