マンガ作品ID,アニメ化,アニメ化有無ID,合計話数,グループID,マンガ雑誌名
C92355,False,0,8-17話,0,週刊少年サンデー
C93126,False,0,8-17話,0,週刊少年サンデー
C91698,False,0,8-17話,0,週刊少年サンデー
C93467,False,0,8-17話,0,週刊少年サンデー
C93829,False,0,8-17話,0,週刊少年サンデー
C92262,False,0,8-17話,0,週刊少年サンデー
C92582,False,0,8-17話,0,週刊少年サンデー
C92108,False,0,8-17話,0,週刊少年サンデー
C93013,False,0,8-17話,0,週刊少年サンデー
C92928,False,0,8-17話,0,週刊少年サンデー
C93292,False,0,8-17話,0,週刊少年サンデー
C93759,False,0,8-17話,0,週刊少年サンデー
C93217,False,0,8-17話,0,週刊少年サンデー
C93823,False,0,8-17話,0,週刊少年サンデー
C93198,False,0,8-17話,0,週刊少年サンデー
C92533,False,0,8-17話,0,週刊少年サンデー
C92829,False,0,8-17話,0,週刊少年サンデー
C91657,False,0,8-17話,0,週刊少年サンデー
C92725,False,0,8-17話,0,週刊少年サンデー
C92756,False,0,8-17話,0,週刊少年サンデー
C92592,False,0,8-17話,0,週刊少年サンデー
C93847,False,0,8-17話,0,週刊少年サンデー
C92059,False,0,8-17話,0,週刊少年サンデー
C112725,False,0,8-17話,0,週刊少年サンデー
C115520,False,0,8-17話,0,週刊少年サンデー
C115521,False,0,8-17話,0,週刊少年サンデー
C115536,False,0,8-17話,0,週刊少年サンデー
C115544,False,0,8-17話,0,週刊少年サンデー
C115561,False,0,8-17話,0,週刊少年サンデー
C115562,False,0,8-17話,0,週刊少年サンデー
C92126,False,0,18-36話,1,週刊少年サンデー
C91773,False,0,18-36話,1,週刊少年サンデー
C92424,False,0,18-36話,1,週刊少年サンデー
C92451,False,0,18-36話,1,週刊少年サンデー
C93765,False,0,18-36話,1,週刊少年サンデー
C93690,False,0,18-36話,1,週刊少年サンデー
C92318,False,0,18-36話,1,週刊少年サンデー
C91654,False,0,18-36話,1,週刊少年サンデー
C93522,False,0,18-36話,1,週刊少年サンデー
C93944,False,0,18-36話,1,週刊少年サンデー
C93671,False,0,18-36話,1,週刊少年サンデー
C92779,False,0,18-36話,1,週刊少年サンデー
C93948,False,0,18-36話,1,週刊少年サンデー
C93915,False,0,18-36話,1,週刊少年サンデー
C93830,False,0,18-36話,1,週刊少年サンデー
C92798,False,0,18-36話,1,週刊少年サンデー
C92828,False,0,18-36話,1,週刊少年サンデー
C93310,False,0,18-36話,1,週刊少年サンデー
C93677,False,0,18-36話,1,週刊少年サンデー
C91636,False,0,18-36話,1,週刊少年サンデー
C92162,False,0,18-36話,1,週刊少年サンデー
C92369,False,0,18-36話,1,週刊少年サンデー
C92782,False,0,18-36話,1,週刊少年サンデー
C93946,False,0,18-36話,1,週刊少年サンデー
C93680,False,0,18-36話,1,週刊少年サンデー
C91672,False,0,18-36話,1,週刊少年サンデー
C93237,False,0,18-36話,1,週刊少年サンデー
C93482,False,0,18-36話,1,週刊少年サンデー
C91788,False,0,18-36話,1,週刊少年サンデー
C91647,False,0,18-36話,1,週刊少年サンデー
C91688,False,0,18-36話,1,週刊少年サンデー
C93611,False,0,18-36話,1,週刊少年サンデー
C92988,False,0,18-36話,1,週刊少年サンデー
C91767,False,0,18-36話,1,週刊少年サンデー
C92177,False,0,18-36話,1,週刊少年サンデー
C92351,False,0,18-36話,1,週刊少年サンデー
C92281,False,0,18-36話,1,週刊少年サンデー
C92930,False,0,18-36話,1,週刊少年サンデー
C92279,False,0,18-36話,1,週刊少年サンデー
C110913,False,0,18-36話,1,週刊少年サンデー
C110987,False,0,18-36話,1,週刊少年サンデー
C111005,False,0,18-36話,1,週刊少年サンデー
C111062,False,0,18-36話,1,週刊少年サンデー
C111076,False,0,18-36話,1,週刊少年サンデー
C111084,False,0,18-36話,1,週刊少年サンデー
C112746,False,0,18-36話,1,週刊少年サンデー
C112745,False,0,18-36話,1,週刊少年サンデー
C115424,False,0,18-36話,1,週刊少年サンデー
C115465,False,0,18-36話,1,週刊少年サンデー
C92375,False,0,37-92話,2,週刊少年サンデー
C92844,False,0,37-92話,2,週刊少年サンデー
C92848,False,0,37-92話,2,週刊少年サンデー
C92084,False,0,37-92話,2,週刊少年サンデー
C93113,False,0,37-92話,2,週刊少年サンデー
C93900,False,0,37-92話,2,週刊少年サンデー
C93143,False,0,37-92話,2,週刊少年サンデー
C93807,False,0,37-92話,2,週刊少年サンデー
C93244,False,0,37-92話,2,週刊少年サンデー
