マンガ雑誌名,マンガ作品名,アニメ各話数
週刊少年サンデー,うしおととら,26.0
週刊少年マガジン,シュート!,58.0
週刊少年ジャンプ,SLAM DUNK,101.0
週刊少年ジャンプ,幽☆遊☆白書,112.0
週刊少年サンデー,ゴーストスイーパー美神 極楽大作戦!!,45.0
週刊少年マガジン,BOYS BE…,13.0
週刊少年チャンピオン,グラップラー刃牙,24.0
週刊少年マガジン,金田一少年の事件簿,148.0
週刊少年チャンピオン,浦安鉄筋家族,32.0
週刊少年ジャンプ,とってもラッキーマン,50.0
週刊少年マガジン,Let'sぬぷぬぷっ,16.0
週刊少年ジャンプ,NINK〔U_ 〕-忍空-,55.0
週刊少年ジャンプ,D・N・A²～何処かで失くしたあいつのアイツ～,12.0
週刊少年ジャンプ,地獄先生ぬ～べ～,49.0
週刊少年サンデー,名探偵コナン,729.0
週刊少年ジャンプ,るろうに剣心 -明治剣客浪漫譚-,105.0
週刊少年サンデー,ガンバ!!Fly high,30.0
週刊少年サンデー,MAJOR,26.0
週刊少年ジャンプ,みどりのマキバオー,61.0
週刊少年サンデー,DAN DOH,26.0
週刊少年サンデー,烈火の炎,42.0
週刊少年ジャンプ,人形草子あやつり左近,26.0
週刊少年ジャンプ,レベルE,13.0
週刊少年マガジン,中華一番!,52.0
週刊少年ジャンプ,セクシーコマンドー外伝 すごいよ!!マサルさん,50.0
週刊少年ジャンプ,封神演義,26.0
週刊少年サンデー,モンキーターン,25.0
週刊少年ジャンプ,遊☆戯☆王,27.0
週刊少年ジャンプ,花さか天使テンテンくん,43.0
週刊少年サンデー,犬夜叉,171.0
週刊少年マガジン,GTO,46.0
週刊少年サンデー,ARMS,26.0
週刊少年ジャンプ,ONE PIECE,783.0
週刊少年ジャンプ,ホイッスル!,40.0
週刊少年ジャンプ,HUNTER×HUNTER,62.0
週刊少年ジャンプ,シャーマンキング,65.0
週刊少年ジャンプ,テニスの王子様,179.0
週刊少年マガジン,ラブひな,24.0
週刊少年ジャンプ,ヒカルの碁,76.0
週刊少年マガジン,Get Backers 奪還屋,49.0
週刊少年サンデー,天使な小生意気,50.0
週刊少年マガジン,SAMURAI DEEPER KYO,26.0
週刊少年マガジン,RAVE,51.0
週刊少年ジャンプ,NARUTO-ナルト-,221.0
週刊少年チャンピオン,ななか6/17,12.0
週刊少年ジャンプ,BLACK CAT,24.0
週刊少年マガジン,魁!!クロマティ高校,26.0
週刊少年マガジン,勝負師伝説 哲也 雀聖と呼ばれた男,20.0
週刊少年ジャンプ,ボボボーボ・ボーボボ,77.0
週刊少年サンデー,金色のガッシュ!!,150.0
週刊少年マガジン,探偵学園Q,47.0
週刊少年チャンピオン,スクライド,26.0
週刊少年サンデー,うえきの法則,51.0
週刊少年ジャンプ,BLEACH,369.0
週刊少年サンデー,焼きたて!!ジャぱん,69.0
週刊少年マガジン,アソボット五九,52.0
週刊少年ジャンプ,トリコ,147.0
週刊少年ジャンプ,いちご100％,12.0
週刊少年ジャンプ,アイシールド21,145.0
週刊少年サンデー,史上最強の弟子ケンイチ,50.0
週刊少年チャンピオン,無敵看板娘,24.0
週刊少年サンデー,美鳥の日々,13.0
週刊少年マガジン,スクールランブル,26.0
週刊少年マガジン,エア・ギア,25.0
週刊少年サンデー,MAR メル,102.0
週刊少年マガジン,魔法先生 ネギま! MAGISTER NEGI MAGI,26.0
週刊少年サンデー,結界師,54.0
週刊少年マガジン,ツバサ ～RESERVoir CHRoNiCLE～,26.0
週刊少年ジャンプ,武装錬金,26.0
週刊少年ジャンプ,DEATH NOTE,39.0
週刊少年ジャンプ,家庭教師ヒットマンREBORN!,198.0
週刊少年マガジン,涼風,26.0
週刊少年ジャンプ,銀魂,201.0
週刊少年ジャンプ,D.Gray-man,103.0
週刊少年チャンピオン,舞-HiME,26.0
週刊少年サンデー,絶対可憐チルドレン,52.0
週刊少年ジャンプ,魔人探偵脳噛ネウロ,25.0
週刊少年サンデー,ハヤテのごとく!,52.0
週刊少年マガジン,さよなら絶望先生,12.0
週刊少年サンデー,クロスゲーム,50.0
週刊少年マガジン,Over Drive,26.0
週刊少年マガジン,ケンコー全裸系水泳部 ウミショー,13.0
週刊少年サンデー,妖逆門,51.0
週刊少年チャンピオン,みつどもえ,13.0
週刊少年ジャンプ,To LOVEる -とらぶる-,26.0
週刊少年マガジン,エリアの騎士,38.0
週刊少年マガジン,ダイヤのA,75.0
週刊少年マガジン,FAIRY TAIL,175.0
週刊少年ジャンプ,SKET DANCE,77.0
週刊少年チャンピオン,侵略!イカ娘,12.0
週刊少年ジャンプ,ぬらりひょんの孫,25.0
週刊少年ジャンプ,初恋限定。,13.0
週刊少年マガジン,Baby Steps ベイビーステップ,26.0
週刊少年チャンピオン,弱虫ペダル,38.0
週刊少年サンデー,神のみぞ知るセカイ,12.0
週刊少年マガジン,君のいる町,12.0
週刊少年マガジン,CODE:BREAKER コード:ブレイカー,13.0
週刊少年マガジン,生徒会役員共,13.0
週刊少年ジャンプ,バクマン。,27.0
週刊少年ジャンプ,べるぜバブ,60.0
週刊少年サンデー,アラタカンガタリ～革神語～,12.0
週刊少年ジャンプ,黒子のバスケ,25.0
週刊少年マガジン,波打際のむろみさん,13.0
週刊少年ジャンプ,めだかボックス,13.0
週刊少年サンデー,境界のRINNE,26.0
週刊少年サンデー,マギ The labyrinth of magic,26.0
週刊少年マガジン,だぶるじぇい,11.0
週刊少年チャンピオン,毎度!浦安鉄筋家族,25.0
週刊少年サンデー,常住戦陣!!ムシブギョー,26.0
週刊少年サンデー,銀の匙 Silver Spoon,11.0
週刊少年ジャンプ,ハイキュー!!,25.0
週刊少年サンデー,電波教師,24.0
週刊少年ジャンプ,ニセコイ,20.0
週刊少年マガジン,七つの大罪,25.0
週刊少年マガジン,山田くんと7人の魔女,13.0
週刊少年ジャンプ,斉木楠雄のΨ難,65.0
週刊少年ジャンプ,暗殺教室,22.0
週刊少年ジャンプ,食戟のソーマ,25.0
週刊少年マガジン,アホガール,12.0
週刊少年チャンピオン,実は私は,13.0
週刊少年ジャンプ,ワールドトリガー,75.0
週刊少年サンデー,マギ シンドバッドの冒険,13.0
週刊少年マガジン,DAYS,12.0
週刊少年サンデー,競女!!!!!!!!,12.0
週刊少年マガジン,金田一少年の事件簿R,25.0
週刊少年マガジン,風夏,12.0
週刊少年サンデー,だがしかし,23.0
週刊少年ジャンプ,僕のヒーローアカデミア,13.0
週刊少年ジャンプ,BORUTO-ボルト- -NARUTO NEXT GENERATIONS-,27.0
