year,quarter,n_ac
1963,1,1
1963,2,1
1963,3,1
1963,4,2
1964,1,2
1964,2,2
1964,3,2
1964,4,2
1965,1,2
1965,2,2
1965,3,2
1965,4,1
1966,1,1
1966,2,1
1966,3,1
1966,4,1
1971,4,1
1972,1,1
1974,1,1
1974,2,1
1974,3,1
1974,4,2
1975,1,1
1979,2,1
1979,3,1
1979,4,1
1980,1,1
1990,1,2
1990,2,5
1990,3,9
1990,4,17
1991,1,27
1991,2,37
1991,3,32
1991,4,35
1992,1,34
1992,2,38
1992,3,33
1992,4,35
1993,1,35
1993,2,28
1993,3,26
1993,4,31
1994,1,31
1994,2,33
1994,3,36
1994,4,38
1995,1,36
1995,2,34
1995,3,34
1995,4,35
1996,1,36
1996,2,32
1996,3,35
1996,4,34
1997,1,36
1997,2,33
1997,3,35
1997,4,39
1998,1,42
1998,2,60
1998,3,52
1998,4,61
1999,1,54
1999,2,59
1999,3,60
1999,4,79
2000,1,74
2000,2,71
2000,3,68
2000,4,72
2001,1,71
2001,2,87
2001,3,85
2001,4,92
2002,1,91
2002,2,88
2002,3,94
2002,4,109
2003,1,99
2003,2,96
2003,3,105
2003,4,110
2004,1,103
2004,2,115
2004,3,109
2004,4,127
2005,1,117
2005,2,119
2005,3,105
2005,4,125
2006,1,125
2006,2,151
2006,3,143
2006,4,151
2007,1,134
2007,2,135
2007,3,138
2007,4,141
2008,1,140
2008,2,141
2008,3,136
2008,4,131
2009,1,135
2009,2,109
2009,3,104
2009,4,111
2010,1,120
2010,2,105
2010,3,98
2010,4,107
2011,1,88
2011,2,112
2011,3,99
2011,4,100
2012,1,107
2012,2,108
2012,3,116
2012,4,120
2013,1,120
2013,2,110
2013,3,126
2013,4,123
2014,1,136
2014,2,129
2014,3,146
2014,4,141
2015,1,105
2015,2,111
2015,3,125
2015,4,120
2016,1,124
2016,2,138
2016,3,127
2016,4,151
2017,1,49
2017,2,76
2017,3,81
2017,4,6
