,ceid,cename,pages,page_start_position,ccname,mcname,date
0,CE00000,第238話/この世代,22.0,0.0213675213675213,ダイヤのA,週刊少年マガジン,2011-05-25
1,CE00001,#134 話の続き,18.0,0.0705128205128205,君のいる町,週刊少年マガジン,2011-05-25
2,CE00002,第5話 チア・ザ・マシンガン!,18.0,0.1089743589743589,アゲイン!!,週刊少年マガジン,2011-05-25
3,CE00003,第233話 妖精の輝き,20.0,0.1474358974358974,FAIRY TAIL,週刊少年マガジン,2011-05-25
4,CE00004,-BOUT 71- From Dark Zone,20.0,0.1901709401709401,A-BOUT!,週刊少年マガジン,2011-05-25
5,CE00005,第94話,22.0,0.2329059829059829,我間乱 ～GAMARAN～,週刊少年マガジン,2011-05-25
6,CE00006,第36話 星,20.0,0.2799145299145299,AKB49 ～恋愛禁止条例～,週刊少年マガジン,2011-05-25
7,CE00007,#164 どうやって,18.0,0.3226495726495726,Baby Steps ベイビーステップ,週刊少年マガジン,2011-05-25
8,CE00008,code:133 覚悟の証,20.0,0.3611111111111111,CODE:BREAKER コード:ブレイカー,週刊少年マガジン,2011-05-25
9,CE00009,324時間目 明かされた秘密!!,18.0,0.4038461538461538,魔法先生 ネギま! MAGISTER NEGI MAGI,週刊少年マガジン,2011-05-25
10,CE00010,第2話 ルーク警視,54.0,0.4465811965811966,ファイ・ブレイン 最期のパズル,週刊少年マガジン,2011-05-25
11,CE00011,#91 ゴール下を制する者とむろみさん,6.0,0.561965811965812,波打際のむろみさん,週刊少年マガジン,2011-05-25
12,CE00012,Round 935 未見の強振,18.0,0.5790598290598291,はじめの一歩,週刊少年マガジン,2011-05-25
13,CE00013,第260話 「角度ならないこともない」,12.0,0.6175213675213675,さよなら絶望先生,週刊少年マガジン,2011-05-25
14,CE00014,第327話 キープ ア ストロング 7,18.0,0.6431623931623932,あひるの空,週刊少年マガジン,2011-05-25
15,CE00015,210限目 足立さんは!!?,20.0,0.6816239316239316,ヤンキー君とメガネちゃん,週刊少年マガジン,2011-05-25
16,CE00016,第453話 溢れる想い,22.0,0.7243589743589743,ゴッドハンド輝,週刊少年マガジン,2011-05-25
17,CE00017,#225 誕生,20.0,0.7713675213675214,エリアの騎士,週刊少年マガジン,2011-05-25
18,CE00018,ゲームの館殺人事件 第4話,22.0,0.8183760683760684,金田一少年の事件簿,週刊少年マガジン,2011-05-25
19,CE00019,第13話 その感情の名前は,20.0,0.8653846153846154,この彼女はフィクションです。,週刊少年マガジン,2011-05-25
20,CE00020,#134　／　そう見えた　／　マジ被写体　／　にゃんこの影　／　隠し言葉　／　表と裏　／　さよならコイン　／　伝わらない言葉,4.0,0.908119658119658,生徒会役員共,週刊少年マガジン,2011-05-25
21,CE00021,第22話 震える世界。,20.0,0.9166666666666666,振り向くな君は,週刊少年マガジン,2011-05-25
22,CE00022,第109話 Pyramid:第三の塔,20.0,0.9594017094017094,エデンの檻,週刊少年マガジン,2011-05-25
23,CE00023,第1話 クラシック同好会,66.0,0.032442748091603,ファイ・ブレイン 最期のパズル,週刊少年マガジン,2011-05-18
24,CE00024,第35話 サナギと蝶,20.0,0.1583969465648854,AKB49 ～恋愛禁止条例～,週刊少年マガジン,2011-05-18
25,CE00025,ゲームの館殺人事件 第3話,22.0,0.1965648854961832,金田一少年の事件簿,週刊少年マガジン,2011-05-18
26,CE00026,第237話/トーナメント,20.0,0.2385496183206107,ダイヤのA,週刊少年マガジン,2011-05-18
27,CE00027,#133 元カレよりも。,18.0,0.2767175572519084,君のいる町,週刊少年マガジン,2011-05-18
28,CE00028,第4話 We need you!,18.0,0.3110687022900763,アゲイン!!,週刊少年マガジン,2011-05-18
29,CE00029,特別番外編 「損して得とれない」,14.0,0.3454198473282442,かってに改蔵,週刊少年マガジン,2011-05-18
30,CE00030,Round 934 教えていない構え,18.0,0.3721374045801526,はじめの一歩,週刊少年マガジン,2011-05-18
31,CE00031,Trick:315,18.0,0.4064885496183206,エア・ギア,週刊少年マガジン,2011-05-18
32,CE00032,第108話 exchange:取引,20.0,0.4446564885496183,エデンの檻,週刊少年マガジン,2011-05-18
33,CE00033,第326話 キープ ア ストロング 6,18.0,0.482824427480916,あひるの空,週刊少年マガジン,2011-05-18
34,CE00034,-BOUT 70- 手練れた悪漢,20.0,0.517175572519084,A-BOUT!,週刊少年マガジン,2011-05-18
35,CE00035,第232話 言えなかった一言,20.0,0.5553435114503816,FAIRY TAIL,週刊少年マガジン,2011-05-18
36,CE00036,,4.0,0.601145038167939,ネギほ(幼)文,週刊少年マガジン,2011-05-18
37,CE00037,第12話 Kの寸劇,20.0,0.6087786259541985,この彼女はフィクションです。,週刊少年マガジン,2011-05-18
38,CE00038,#133　／　兄の特性　／　私が一番　／　算術士スズ　／　まくらーズ　／　発掘品　／　小休止　／　萌えテイル,4.0,0.6469465648854962,生徒会役員共,週刊少年マガジン,2011-05-18
39,CE00039,第93話,20.0,0.6545801526717557,我間乱 ～GAMARAN～,週刊少年マガジン,2011-05-18
40,CE00040,第21話 無限の可能性。,20.0,0.6927480916030534,振り向くな君は,週刊少年マガジン,2011-05-18
41,CE00041,#224 限界の、その先へ,20.0,0.7309160305343512,エリアの騎士,週刊少年マガジン,2011-05-18
42,CE00042,#90 漁師めしとむろみさん,6.0,0.7690839694656488,波打際のむろみさん,週刊少年マガジン,2011-05-18
43,CE00043,#163 怒りと重圧,18.0,0.7805343511450382,Baby Steps ベイビーステップ,週刊少年マガジン,2011-05-18
44,CE00044,209限目 あいつのせいで。,20.0,0.8148854961832062,ヤンキー君とメガネちゃん,週刊少年マガジン,2011-05-18
45,CE00045,第80話 リスク,18.0,0.8530534351145038,GE ～グッドエンディング～,週刊少年マガジン,2011-05-18
46,CE00046,Royale出張版 “5月17日発売のアレ”,4.0,0.8874045801526718,くろのロワイヤル,週刊少年マガジン,2011-05-18
47,CE00047,code:132 切り札の一手,20.0,0.8950381679389313,CODE:BREAKER コード:ブレイカー,週刊少年マガジン,2011-05-18
48,CE00048,第452話 幸せな記憶,22.0,0.933206106870229,ゴッドハンド輝,週刊少年マガジン,2011-05-18
49,CE00049,第83話 シアー・伝統・アタック,8.0,0.9751908396946564,だぶるじぇい,週刊少年マガジン,2011-05-18
50,CE00050,File.308 イニシャルM!,6.0,0.9904580152671756,もう、しませんから。,週刊少年マガジン,2011-05-18
51,CE00051,第231話 終わらせる者,30.0,0.0064377682403433,FAIRY TAIL,週刊少年マガジン,2011-05-04
52,CE00052,-BOUT 69- マスクよ投合せよ,24.0,0.0708154506437768,A-BOUT!,週刊少年マガジン,2011-05-04
53,CE00053,ゲームの館殺人事件 第2話,28.0,0.1223175965665236,金田一少年の事件簿,週刊少年マガジン,2011-05-04
54,CE00054,#132　／　視線の先　／　紳士的飲み方　／　男の放課後　／　おべんきょ　／　乙女の園　／　むかしむかし　／　スズのお願い,4.0,0.1824034334763948,生徒会役員共,週刊少年マガジン,2011-05-04
55,CE00055,第34話 実/みのり,20.0,0.1909871244635193,AKB49 ～恋愛禁止条例～,週刊少年マガジン,2011-05-04
56,CE00056,#223 高瀬の「武器」,21.0,0.2360515021459227,エリアの騎士,週刊少年マガジン,2011-05-04
57,CE00057,code:131 始まりのハグ,20.0,0.2811158798283262,CODE:BREAKER コード:ブレイカー,週刊少年マガジン,2011-05-04
58,CE00058,第451話 故郷,22.0,0.3240343347639485,ゴッドハンド輝,週刊少年マガジン,2011-05-04
59,CE00059,第92話,20.0,0.371244635193133,我間乱 ～GAMARAN～,週刊少年マガジン,2011-05-04
60,CE00060,第11話 ダブルヒロイン,24.0,0.4141630901287553,この彼女はフィクションです。,週刊少年マガジン,2011-05-04
61,CE00061,#89 膨張とむろみさん,6.0,0.4656652360515021,波打際のむろみさん,週刊少年マガジン,2011-05-04
62,CE00062,第236話/絆,20.0,0.4785407725321888,ダイヤのA,週刊少年マガジン,2011-05-04
63,CE00063,第20話 エース。,20.0,0.5214592274678111,振り向くな君は,週刊少年マガジン,2011-05-04
64,CE00064,,4.0,0.5643776824034334,竹植物語,週刊少年マガジン,2011-05-04
65,CE00065,第2話 勧誘・メガ・ストロング!,18.0,0.5815450643776824,アゲイン!!,週刊少年マガジン,2011-05-04
66,CE00066,第79話 リメンバー,18.0,0.6201716738197425,GE ～グッドエンディング～,週刊少年マガジン,2011-05-04
67,CE00067,Season 2 -絶望ノ匣(パンドラノハコ)- File 68 行き着く先,34.0,0.6587982832618026,BLOODY MONDAY,週刊少年マガジン,2011-05-04
68,CE00068,Round 933 異様な立ち上がり,16.0,0.7317596566523605,はじめの一歩,週刊少年マガジン,2011-05-04
69,CE00069,ジャッジの鬼 パンチラウォーズ 前チラVS.後ろチラ,2.0,0.7682403433476395,チョイとだけ劇場,週刊少年マガジン,2011-05-04
70,CE00070,第325話 キープ ア ストロング 5,16.0,0.7746781115879828,あひるの空,週刊少年マガジン,2011-05-04
71,CE00071,#132 柚希のこと,18.0,0.8090128755364807,君のいる町,週刊少年マガジン,2011-05-04
