ceid,cename,ccid,miid,page_start,page_end,pages,page_start_position,two_colored,four_colored,miname,mcid,mcname,date,price,ccname
CE57869,其之五百十九  バイバイ ドラゴンワールド,C87667,M543545,3.0,26.0,24.0,0.0071942446043165,True,True,週刊少年ジャンプ 1995年 表示号数25,C119459,週刊少年ジャンプ,1995-06-05,190.0,DRAGON　BALL
CE57892,其之五百十八 そして10年後,C87667,M543546,105.0,117.0,13.0,0.2219873150105708,False,False,週刊少年ジャンプ 1995年 表示号数24,C119459,週刊少年ジャンプ,1995-05-29,200.0,DRAGON　BALL
CE57912,其之五百十七 大団円 そして・・・,C87667,M543547,83.0,95.0,13.0,0.1840354767184035,False,False,週刊少年ジャンプ 1995年 表示号数23,C119459,週刊少年ジャンプ,1995-05-22,200.0,DRAGON　BALL
CE57934,其之五百十六 決着,C87667,M543548,111.0,123.0,13.0,0.2336842105263158,False,False,週刊少年ジャンプ 1995年 表示号数21,C119459,週刊少年ジャンプ,1995-05-08,200.0,DRAGON　BALL
CE57954,其之五百十五 集まらない元気玉の元気,C87667,M543549,61.0,73.0,13.0,0.1462829736211031,False,False,週刊少年ジャンプ 1995年 表示号数20,C119459,週刊少年ジャンプ,1995-05-01,190.0,DRAGON　BALL
CE57972,其之五百十四 蘇った地球人へのメッセージ,C87667,M543550,49.0,61.0,13.0,0.1116173120728929,False,False,週刊少年ジャンプ 1995年 表示号数19,C119459,週刊少年ジャンプ,1995-04-24,200.0,DRAGON　BALL
CE57994,其之五百十三 ベジータの考え,C87667,M543551,85.0,97.0,13.0,0.1893095768374164,False,False,週刊少年ジャンプ 1995年 表示号数18,C119459,週刊少年ジャンプ,1995-04-17,200.0,DRAGON　BALL
CE58013,其之五百十二 超サイヤ人3消える,C87667,M543552,3.0,20.0,18.0,0.0069284064665127,True,True,週刊少年ジャンプ 1995年 表示号数17,C119459,週刊少年ジャンプ,1995-04-10,200.0,DRAGON　BALL
CE58038,其之五百十一 命賭けのベジータ,C87667,M543553,83.0,95.0,13.0,0.1916859122401847,False,False,週刊少年ジャンプ 1995年 表示号数16,C119459,週刊少年ジャンプ,1995-04-03,200.0,DRAGON　BALL
CE58059,其之五百十 ベジータとカカロット,C87667,M543554,87.0,99.0,13.0,0.2137592137592137,False,False,週刊少年ジャンプ 1995年 表示号数15,C119459,週刊少年ジャンプ,1995-03-27,190.0,DRAGON　BALL
